"Player";"Position";"Team"
"Alabi, Solomon";"C";"TOR"
"Aldrich, Cole";"C";"OKC"
"Anthony, Joel";"C";"MIA"
"Asik, Omer";"C";"CHI"
"Barac, Stanko";"C";"IND"
"Bargnani, Andrea";"C";"TOR"
"Biedrins, Andris";"C";"GSW"
"Blatche, Andray";"C";"WAS"
"Bogut, Andrew";"C";"MIL"
"Brown, Kwame";"C";"GSW"
"Bynum, Andrew";"C";"LAL"
"Camby, Marcus";"C";"POR"
"Chandler, Tyson";"C";"NYK"
"Collins, Jason";"C";"ATL"
"Cousins, DeMarcus";"C";"SAC"
"Curry, Eddy";"C";"MIA"
"Dalembert, Samuel";"C";"HOU"
"Diop, DeSagana";"C";"CHA"
"Elonu, Chinemelu";"C";"LAL"
"Erden, Semih";"C";"CLE"
"Foster, Jeff";"C";"IND"
"Frye, Channing";"C";"PHO"
"Gasol, Marc";"C";"MEM"
"Gladness, Mickell";"C";"MIA"
"Gray, Aaron";"C";"TOR"
"Haddadi, Hamed";"C";"MEM"
"Harrellson, Josh";"C";"NYK"
"Hawes, Spencer";"C";"PHI"
"Haywood, Brendan";"C";"DAL"
"Hibbert, Roy";"C";"IND"
"Hollins, Ryan";"C";"CLE"
"Horford, Al";"C";"ATL"
"Howard, Dwight";"C";"ORL"
"Jefferson, Al";"C";"UTH"
"Jordan, DeAndre";"C";"LAC"
"Jordan, Jerome";"C";"NYK"
"Kaman, Chris";"C";"NOR"
"Kanter, Enes";"C";"UTH"
"Koufos, Kosta";"C";"DEN"
"Lee, David";"C";"GSW"
"Lopez, Brook";"C";"NJN"
"Lopez, Robin";"C";"PHO"
"Magloire, Jamaal";"C";"TOR"
"Mahinmi, Ian";"C";"DAL"
"Mavrokefalidis, Loukas";"C";"MIN"
"McGee, JaVale";"C";"WAS"
"Milicic, Darko";"C";"MIN"
"Miller, Brad";"C";"MIN"
"Mohammed, Nazr";"C";"OKC"
"Monroe, Greg";"C";"DET"
"Mozgov, Timofey";"C";"DEN"
