"Player";"Position";"Team"
"Aaitui, Isaako";"DL";"MIA"
"Abdulai, Ibraham";"DL";"NYJ"
"Adams, Mike";"DB";"CLE"
"Addai, Joseph";"RB";"IND"
"Addison, Mario";"DL";"IND"
"Agnew, Vince";"DB";"MIA"
"Aiken, Kamar";"WR";"BUF"
"Alama-Francis, Ikaika";"LB";"MIA"
"Albert, Branden";"OL";"K.C"
"Alexander, Gerald";"DB";"NYJ"
"Alexander, Mister";"LB";"HOU"
"Alford, Dominic";"OL";"CLE"
"Allen, Anthony";"RB";"BAL"
"Allen, Cortez";"DB";"PIT"
"Allen, Jason";"DB";"HOU"
"Allen, Russell";"LB";"JAC"
"Allen, Sean";"OL";"BUF"
"Allen, Will";"DB";"MIA"
"Allen, Will";"DB";"PIT"
"Alualu, Tyson";"DL";"JAC"
"Amano, Eugene";"OL";"TEN"
"Anderson, Jamaal";"DL";"IND"
"Anderson, Mark";"DL";"NWE"
"Angerer, Pat";"LB";"IND"
"Arenas, Javier";"DB";"K.C"
"Arrington, Kyle";"DB";"NWE"
"Asamoah, Jon";"OL";"K.C"
"Atkins, Geno";"DL";"CIN"
"Ausberry, David";"TE";"OAK"
"Austin, Thomas";"OL";"HOU"
"Avery, Donnie";"WR";"TEN"
"Ayanbadejo, Brendon";"LB";"BAL"
"Ayers, Akeem";"LB";"TEN"
"Ayers, Robert";"DL";"DEN"
"Babineaux, Jordan";"DB";"TEN"
"Bailey, Allen";"DL";"K.C"
"Bailey, Champ";"DB";"DEN"
"Bailey, Patrick";"LB";"TEN"
"Bain, Travarous";"DB";"K.C"
"Bair, Brandon";"DL";"K.C"
"Baker, Josh";"TE";"NYJ"
"Baker, Ryan";"DL";"MIA"
"Baldridge, Daniel";"OL";"JAC"
"Baldwin, Jon";"WR";"K.C"
"Ball, Dave";"DL";"TEN"
"Ball, Lance";"RB";"DEN"
"Banks, Gary";"WR";"SDG"
"Barber, Dominique";"DB";"HOU"
"Barbieri, Howard";"OL";"HOU"
"Barker, Will";"OL";"MIA"
"Barksdale, Joe";"OL";"OAK"
"Barnes, Antwan";"LB";"SDG"
"Barnes, Khalif";"OL";"OAK"
"Barnett, Nick";"LB";"BUF"
"Barrett, Josh";"DB";"NWE"
"Barwin, Connor";"LB";"HOU"
"Batch, Baron";"RB";"PIT"
"Batch, Charlie";"QB";"PIT"
"Batten, Danny";"LB";"BUF"
"Battle, Arnaz";"WR";"PIT"
"Battle, Jackie";"RB";"K.C"
"Baxter, Colin";"OL";"SDG"
"Bazuin, Dan";"DL";"HOU"
"Beadles, Zane";"OL";"DEN"
"Beal, Jeremy";"DL";"DEN"
"Becht, Anthony";"TE";"K.C"
"Belcher, Jovan";"LB";"K.C"
"Bell, Demetrius";"OL";"BUF"
"Bell, Yeremiah";"DB";"MIA"
"Bellore, Nick";"LB";"NYJ"
"Benard, Marcus";"DL";"CLE"
"Benson, Cedric";"RB";"CIN"
"Bentley, Kevin";"LB";"IND"
"Berry, Damien";"RB";"BAL"
"Berry, Eric";"DB";"K.C"
"Bess, Davone";"WR";"MIA"
"Bethea, Antoine";"DB";"IND"
"Bethel-Thompson, McLeod";"QB";"MIA"
"Binns, Armon";"WR";"CIN"
"Bird, Bront";"LB";"SDG"
"Birk, Matt";"OL";"BAL"
"Bironas, Rob";"K";"TEN"
"Blackstock, Darryl";"LB";"OAK"
"Boggs, Taylor";"OL";"NYJ"
"Boldin, Anquan";"WR";"BAL"
"Bolen, Brock";"RB";"JAC"
"Boling, Clint";"OL";"CIN"
"Boller, Kyle";"QB";"OAK"
"Boren, Justin";"OL";"BAL"
"Boss, Kevin";"TE";"OAK"
"Bosworth, Kyle";"LB";"JAC"
"Bowe, Dwayne";"WR";"K.C"
"Boyd, Jerome";"DB";"OAK"
"Brace, Ron";"DL";"NWE"
"Brackett, Gary";"LB";"IND"
"Bradfield, Cameron";"OL";"JAC"
"Brady, Tom";"QB";"NWE"
"Braman, Bryan";"LB";"HOU"
"Branch, Deion";"WR";"NWE"
"Branch, Tyvon";"DB";"OAK"
"Brayton, Tyler";"DL";"IND"
"Breaston, Steve";"WR";"K.C"
"Brinkley, Curtis";"RB";"SDG"
"Brisiel, Mike";"OL";"HOU"
"Britt, Kenny";"WR";"TEN"
"Britton, Eben";"OL";"JAC"
"Brock, Kevin";"TE";"BUF"
"Brodine, Mason";"DL";"OAK"
"Brown, Antonio";"WR";"PIT"
"Brown, C.C.";"DB";"JAC"
"Brown, Chykie";"DB";"BAL"
"Brown, Colin";"OL";"BUF"
"Brown, Curtis";"DB";"PIT"
"Brown, Donald";"RB";"IND"
"Brown, Duane";"OL";"HOU"
"Brown, Everette";"DL";"SDG"
"Brown, Garrett";"DL";"K.C"
"Brown, Jalil";"DB";"K.C"
"Brown, Jarrett";"QB";"IND"
"Brown, Marcus";"DB";"MIA"
"Brown, Sergio";"DB";"NWE"
"Brown, Sheldon";"DB";"CLE"
"Brown, Stevie";"DB";"IND"
"Brown, Titus";"LB";"CLE"
"Brown, Vincent";"WR";"SDG"
"Brunell, Mark";"QB";"NYJ"
"Bruton, David";"DB";"DEN"
"Bryant, Charlie";"DL";"SDG"
"Bryant, Corbin";"DL";"PIT"
"Bryant, Desmond";"DL";"OAK"
"Bullitt, Melvin";"DB";"IND"
"Bulman, Tim";"DL";"HOU"
"Bunkley, Brodrick";"DL";"DEN"
"Burnett, Kevin";"LB";"MIA"
"Burress, Plaxico";"WR";"NYJ"
"Bush, Michael";"RB";"OAK"
"Bush, Rafael";"DB";"DEN"
"Bush, Reggie";"RB";"MIA"
"Butler, Donald";"LB";"SDG"
"Butler, Rashad";"OL";"HOU"
"Bynes, Josh";"LB";"BAL"
"Byrd, Jairus";"DB";"BUF"
"Caldwell, Andre";"WR";"CIN"
"Caldwell, Antoine";"OL";"HOU"
"Caldwell, David";"DB";"IND"
"Cameron, Jordan";"TE";"CLE"
"Campbell, Bruce";"OL";"OAK"
"Campbell, Jason";"QB";"OAK"
"Campbell, Michael";"WR";"NYJ"
"Campbell, Tommie";"DB";"TEN"
"Canfield, Trevor";"OL";"NYJ"
"Cannon, Marcus";"OL";"NWE"
"Carey, Vernon";"OL";"MIA"
"Carlisle, Cooper";"OL";"OAK"
"Carmichael, Roc";"DB";"HOU"
"Carpenter, Dan";"K";"MIA"
"Carr, Brandon";"DB";"K.C"
"Carr, Chris";"DB";"BAL"
"Carrington, Alex";"DL";"BUF"
"Carroll, Nolan";"DB";"MIA"
"Carter, Andre";"DL";"NWE"
"Carter, Chris";"LB";"PIT"
"Carter, Delone";"RB";"IND"
"Carter, Markell";"LB";"NWE"
"Carter, Quinton";"DB";"DEN"
"Carter, Tony";"DB";"DEN"
"Cartwright, Rock";"RB";"OAK"
"Casey, James";"TE";"HOU"
"Casey, Jurrell";"DL";"TEN"
"Cason, Antoine";"DB";"SDG"
"Cassel, Matt";"QB";"K.C"
"Castillo, Luis";"DL";"SDG"
"Castonzo, Anthony";"OL";"IND"
"Caussin, Mike";"TE";"BUF"
"Cesaire, Jacques";"DL";"SDG"
"Chancellor, Chris";"DB";"JAC"
"Chandler, Scott";"TE";"BUF"
"Charles, Jamaal";"RB";"K.C"
"Chavis, Miguel";"DL";"PIT"
"Chekwa, Chimdi";"DB";"OAK"
"Chick, John";"DL";"JAC"
"Chisolm, Garrett";"OL";"BAL"
"Choice, Tashard";"RB";"BUF"
"Chung, Patrick";"DB";"NWE"
"Clady, Ryan";"OL";"DEN"
"Clanton, Erik";"LB";"PIT"
"Clark, Chris";"OL";"DEN"
"Clark, Dallas";"TE";"IND"
"Clark, Ryan";"DB";"PIT"
"Clary, Jeromey";"OL";"SDG"
"Clay, Charles";"RB";"MIA"
"Clay, John";"RB";"PIT"
"Clayton, Zach";"DL";"TEN"
"Clements, Nate";"DB";"CIN"
"Clemons, Chris";"DB";"MIA"
"Cloherty, Colin";"TE";"JAC"
"Clouser, Brant";"OL";"NYJ"
"Cochart, Colin";"TE";"CIN"
"Cody, Shaun";"DL";"HOU"
"Cody, Terrence";"DL";"BAL"
"Coffman, Chase";"TE";"CIN"
"Cole, Justin";"LB";"K.C"
"Cole, Marquice";"DB";"NYJ"
"Coleman, Andre";"DL";"SDG"
"Coleman, Drew";"DB";"JAC"
"Collie, Austin";"WR";"IND"
"Collins, Anthony";"OL";"CIN"
"Collins, Kerry";"QB";"IND"
"Collins, Nate";"DL";"JAC"
"Colombo, Marc";"OL";"MIA"
"Colon, Willie";"OL";"PIT"
"Conner, John";"RB";"NYJ"
"Conner, Kavell";"LB";"IND"
"Connolly, Dan";"OL";"NWE"
"Cook, Emanuel";"DB";"BAL"
"Cook, Jared";"TE";"TEN"
"Cook, Kyle";"OL";"CIN"
"Cook, Ryan";"OL";"MIA"
"Cooper, Stephen";"LB";"SDG"
"Copper, Terrance";"WR";"K.C"
"Corner, Reggie";"DB";"BUF"
"Corto, Jon";"DB";"BUF"
"Cosby, Quan";"WR";"IND"
"Cotchery, Jerricho";"WR";"PIT"
"Cousins, Oniel";"OL";"CLE"
"Coutu, Brandon";"K";"BUF"
"Cox, Christian";"LB";"NWE"
"Cox, Derek";"DB";"JAC"
"Crable, Shawn";"LB";"NYJ"
"Crayton, Patrick";"WR";"SDG"
"Cribbs, Josh";"WR";"CLE"
"Crocker, Chris";"DB";"CIN"
"Cromartie, Antonio";"DB";"NYJ"
"Cromartie-Smith, Da'Mon";"DB";"PIT"
"Culver, Tyrone";"DB";"MIA"
"Cumberland, Jeff";"TE";"NYJ"
"Cumbie, Jamie";"DL";"OAK"
"Cundiff, Billy";"K";"BAL"
"Cunningham, Jermaine";"LB";"NWE"
"Curry, Aaron";"LB";"OAK"
"Cushing, Brian";"LB";"HOU"
"Dalton, Andy";"QB";"CIN"
"Daniels, Owen";"TE";"HOU"
"Daniels, Travis";"DB";"K.C"
"Dansby, Karlos";"LB";"MIA"
"Dareus, Marcell";"DL";"BUF"
"Davenport, Najeh";"RB";"PIT"
"Davis, Andra";"LB";"BUF"
"Davis, Britt";"WR";"NWE"
"Davis, Jason";"DL";"HOU"
"Davis, Rulon";"DL";"JAC"
"Davis, Vontae";"DB";"MIA"
"Dawkins, Brian";"DB";"DEN"
"Dawson, Phil";"K";"CLE"
"DeGrate, Victor";"DL";"CIN"
"DeVito, Mike";"DL";"NYJ"
"Deaderick, Brandon";"DL";"NWE"
"Decker, Eric";"WR";"DEN"
"Delhomme, Jake";"QB";"HOU"
"Dell, Mark";"WR";"DEN"
"Demps, Quintin";"DB";"HOU"
"Denmark, Clarence";"WR";"JAC"
"Destin, John";"DB";"IND"
"Develin, James";"RB";"CIN"
"Devlin, Pat";"QB";"MIA"
"DiMarco, Patrick";"RB";"SDG"
"Dickerson, Dorin";"WR";"NWE"
"Dickson, Ed";"TE";"BAL"
"Dielman, Kris";"OL";"SDG"
"Diem, Ryan";"OL";"IND"
"Diggs, Na'il";"LB";"SDG"
"Diles, Zac";"LB";"IND"
"Dillard, Jarett";"WR";"JAC"
"Dillard, Mark";"DB";"NWE"
"Dixon, Dennis";"QB";"PIT"
"Dixon, Marcus";"DL";"NYJ"
"Dobbins, Tim";"LB";"HOU"
"Dockery, James";"DB";"CLE"
"Dombrowski, Brandyn";"OL";"SDG"
"Donaldson, Herb";"RB";"TEN"
"Dorsey, Glenn";"DL";"K.C"
"Doss, Tandon";"WR";"BAL"
"Dotson, Lionel";"DL";"BUF"
"Douzable, Leger";"DL";"JAC"
"Dowling, Ras-I";"DB";"NWE"
"Draughn, Shaun";"RB";"K.C"
"Dreessen, Joel";"TE";"HOU"
"Drew, Davon";"TE";"BAL"
"Ducasse, Vladimir";"OL";"NYJ"
"Dumervil, Elvis";"DL";"DEN"
"Dunlap, Carlos";"DL";"CIN"
"Durand, Ryan";"OL";"TEN"
"Dwyer, Jonathan";"RB";"PIT"
"Easley, Marcus";"WR";"BUF"
"Eddins, Robert";"LB";"BUF"
"Edds, A.J.";"LB";"IND"
"Edelman, Julian";"WR";"NWE"
"Edwards, Dwan";"DL";"BUF"
"Egboh, Pannel";"DL";"TEN"
"Eldridge, Brody";"TE";"IND"
"Ellerbe, Dannell";"LB";"BAL"
"Ellis, Kenrick";"DL";"NYJ"
"Ellis, Shaun";"DL";"NWE"
"English, Auston";"LB";"CLE"
"English, Larry";"LB";"SDG"
"Essex, Trai";"OL";"PIT"
"Estes, John";"OL";"JAC"
"Etu, Sifa";"OL";"JAC"
"Eugene, Hiram";"DB";"OAK"
"Evans, Darren";"RB";"IND"
"Evans, DeQuin";"LB";"CIN"
"Evans, Lee";"WR";"BAL"
"Fanene, Jonathan";"DL";"CIN"
"Fannin, Mario";"RB";"DEN"
"Farr, DajLeon";"TE";"BUF"
"Farrior, James";"LB";"PIT"
"Fasano, Anthony";"TE";"MIA"
"Faulk, Kevin";"RB";"NWE"
"Fayson, Jarred";"WR";"IND"
"Feinga, Ray";"OL";"MIA"
"Fells, Daniel";"TE";"DEN"
"Felton, Jerome";"RB";"IND"
"Ferguson, D'Brickashaw";"OL";"NYJ"
"Field, Alex";"DL";"CLE"
"Finnegan, Cortland";"DB";"TEN"
"Fitzpatrick, Ryan";"QB";"BUF"
"Flacco, Joe";"QB";"BAL"
"Fletcher, Dane";"LB";"NWE"
"Florence, Drayton";"DB";"BUF"
"Flowers, Brandon";"DB";"K.C"
"Floyd, Malcom";"WR";"SDG"
"Foley, Ricky";"LB";"NYJ"
"Folk, Nick";"K";"NYJ"
"Foote, Larry";"LB";"PIT"
"Ford, Jacoby";"WR";"OAK"
"Foster, Arian";"RB";"HOU"
"Foster, Eric";"DL";"IND"
"Foster, Ramon";"OL";"PIT"
"Foxworth, Domonique";"DB";"BAL"
"Franklin, Orlando";"OL";"DEN"
"Franklin, Stephen";"LB";"JAC"
"Freeman, Marcus";"LB";"HOU"
"Freeney, Dwight";"DL";"IND"
"Freeny, Jonathan";"LB";"MIA"
"Fujita, Scott";"LB";"CLE"
"Gabbert, Blaine";"QB";"JAC"
"Gachkar, Andrew";"LB";"SDG"
"Gaither, Jared";"OL";"SDG"
"Gamble, Darryl";"LB";"SDG"
"Garay, Antonio";"DL";"SDG"
"Garcia, Jeff";"QB";"HOU"
"Garcon, Pierre";"WR";"IND"
"Gardner, Andrew";"OL";"HOU"
"Garner, Nate";"OL";"MIA"
"Gates, Antonio";"TE";"SDG"
"Gates, Clyde";"WR";"MIA"
"Gay, William";"DB";"PIT"
"Geathers, Robert";"DL";"CIN"
"Ghee, Brandon";"DB";"CIN"
"Gilberry, Wallace";"DL";"K.C"
"Gilbert, Jarron";"DL";"BUF"
"Gilbert, Marcus";"OL";"PIT"
"Gilchrist, Marcus";"DB";"SDG"
"Gilreath, David";"WR";"BUF"
"Gilyard, Mardy";"WR";"NYJ"
"Giordano, Matt";"DB";"OAK"
"Gocong, Chris";"LB";"CLE"
"Goethel, Travis";"LB";"OAK"
"Gonzalez, Anthony";"WR";"IND"
"Goodman, Andre'";"DB";"DEN"
"Goodman, Richard";"WR";"SDG"
"Goodwin, D'Andre";"WR";"DEN"
"Gordon, Amon";"DL";"K.C"
"Gordon, Richard";"TE";"OAK"
"Gorrer, Danny";"DB";"BAL"
"Gostkowski, Stephen";"K";"NWE"
"Gradkowski, Bruce";"QB";"CIN"
"Graham, Cameron";"TE";"TEN"
"Graham, Daniel";"TE";"TEN"
"Graham, Garrett";"TE";"HOU"
"Grant, Adam";"OL";"DEN"
"Greco, John";"OL";"CLE"
"Green, A.J.";"WR";"CIN"
"Green, Tyronne";"OL";"SDG"
"Green, Virgil";"TE";"DEN"
"Green-Ellis, BenJarvus";"RB";"NWE"
"Greene, Courtney";"DB";"JAC"
"Greene, Shonn";"RB";"NYJ"
"Greenwood, Cory";"LB";"K.C"
"Gregg, Kelly";"DL";"K.C"
"Gregory, Steve";"DB";"SDG"
"Gresham, Jermaine";"TE";"CIN"
"Griffin, Michael";"DB";"TEN"
"Grisham, Tyler";"WR";"PIT"
"Grissett, Torrey";"WR";"CLE"
