"Player";"Position";"Team"
"Addai, Joseph";"RB";"IND"
"Aiken, Kamar";"WR";"BUF"
"Allen, Anthony";"RB";"BAL"
"Ausberry, David";"TE";"OAK"
"Avery, Donnie";"WR";"TEN"
"Baker, Josh";"TE";"NYJ"
"Baldwin, Jon";"WR";"K.C"
"Ball, Lance";"RB";"DEN"
"Banks, Gary";"WR";"SDG"
"Batch, Baron";"RB";"PIT"
"Batch, Charlie";"QB";"PIT"
"Battle, Arnaz";"WR";"PIT"
"Battle, Jackie";"RB";"K.C"
"Becht, Anthony";"TE";"K.C"
"Benson, Cedric";"RB";"CIN"
"Berry, Damien";"RB";"BAL"
"Bess, Davone";"WR";"MIA"
"Bethel-Thompson, McLeod";"QB";"MIA"
"Binns, Armon";"WR";"CIN"
"Bironas, Rob";"K";"TEN"
"Boldin, Anquan";"WR";"BAL"
"Bolen, Brock";"RB";"JAC"
"Boller, Kyle";"QB";"OAK"
"Boss, Kevin";"TE";"OAK"
"Bowe, Dwayne";"WR";"K.C"
"Brady, Tom";"QB";"NWE"
"Branch, Deion";"WR";"NWE"
"Breaston, Steve";"WR";"K.C"
"Brinkley, Curtis";"RB";"SDG"
"Britt, Kenny";"WR";"TEN"
"Brock, Kevin";"TE";"BUF"
"Brown, Antonio";"WR";"PIT"
"Brown, Donald";"RB";"IND"
"Brown, Jarrett";"QB";"IND"
"Brown, Vincent";"WR";"SDG"
"Brunell, Mark";"QB";"NYJ"
"Burress, Plaxico";"WR";"NYJ"
"Bush, Michael";"RB";"OAK"
"Bush, Reggie";"RB";"MIA"
"Caldwell, Andre";"WR";"CIN"
"Cameron, Jordan";"TE";"CLE"
"Campbell, Jason";"QB";"OAK"
"Campbell, Michael";"WR";"NYJ"
"Carpenter, Dan";"K";"MIA"
"Carter, Delone";"RB";"IND"
"Cartwright, Rock";"RB";"OAK"
"Casey, James";"TE";"HOU"
"Cassel, Matt";"QB";"K.C"
"Caussin, Mike";"TE";"BUF"
"Chandler, Scott";"TE";"BUF"
"Charles, Jamaal";"RB";"K.C"
"Choice, Tashard";"RB";"BUF"
"Clark, Dallas";"TE";"IND"
"Clay, Charles";"RB";"MIA"
"Clay, John";"RB";"PIT"
"Cloherty, Colin";"TE";"JAC"
"Cochart, Colin";"TE";"CIN"
"Coffman, Chase";"TE";"CIN"
"Collie, Austin";"WR";"IND"
"Collins, Kerry";"QB";"IND"
"Conner, John";"RB";"NYJ"
"Cook, Jared";"TE";"TEN"
"Copper, Terrance";"WR";"K.C"
"Cosby, Quan";"WR";"IND"
"Cotchery, Jerricho";"WR";"PIT"
"Coutu, Brandon";"K";"BUF"
"Crayton, Patrick";"WR";"SDG"
"Cribbs, Josh";"WR";"CLE"
"Cumberland, Jeff";"TE";"NYJ"
"Cundiff, Billy";"K";"BAL"
"Dalton, Andy";"QB";"CIN"
"Daniels, Owen";"TE";"HOU"
"Davenport, Najeh";"RB";"PIT"
"Davis, Britt";"WR";"NWE"
"Dawson, Phil";"K";"CLE"
"Decker, Eric";"WR";"DEN"
"Delhomme, Jake";"QB";"HOU"
"Dell, Mark";"WR";"DEN"
"Denmark, Clarence";"WR";"JAC"
"Develin, James";"RB";"CIN"
"Devlin, Pat";"QB";"MIA"
"DiMarco, Patrick";"RB";"SDG"
"Dickerson, Dorin";"WR";"NWE"
"Dickson, Ed";"TE";"BAL"
"Dillard, Jarett";"WR";"JAC"
"Dixon, Dennis";"QB";"PIT"
"Donaldson, Herb";"RB";"TEN"
"Doss, Tandon";"WR";"BAL"
"Draughn, Shaun";"RB";"K.C"
"Dreessen, Joel";"TE";"HOU"
"Drew, Davon";"TE";"BAL"
