"Player";"DL";"Team"
"Adams, Kris";"WR";"IND"
"Adams, Royce";"WR";"NYJ"
"Aguilar, Devin";"WR";"TEN"
"Aiken, Kamar";"WR";"BUF"
"Allen, Anthony";"RB";"BAL"
"Allen, Dwayne";"TE";"IND"
"Ausberry, David";"TE";"OAK"
"Avery, Donnie";"WR";"IND"
"Bajema, Billy";"TE";"BAL"
"Baker, Edwin";"RB";"SDG"
"Baker, Josh";"TE";"NYJ"
"Balasavage, Matt";"TE";"BAL"
"Baldwin, Jon";"WR";"K.C"
"Ball, Lance";"RB";"DEN"
"Ballard, Jake";"TE";"NWE"
"Ballard, Vick";"RB";"IND"
"Banks, Gary";"WR";"SDG"
"Bannon, Shane";"RB";"K.C"
"Barden, Brandon";"TE";"TEN"
"Barnes, Jason";"WR";"SDG"
"Batch, Baron";"RB";"PIT"
"Batch, Charlie";"QB";"PIT"
"Battle, Jackie";"RB";"SDG"
"Beck, John";"QB";"HOU"
"Beiler, Tyler";"WR";"PIT"
"Bellamy, Josh";"WR";"K.C"
"Benjamin, Travis";"WR";"CLE"
"Berry, Damien";"RB";"BAL"
"Berryhill, Jamison";"RB";"BAL"
"Bess, Davone";"WR";"MIA"
"Biere, Tim";"TE";"K.C"
"Binns, Armon";"WR";"CIN"
"Bironas, Rob";"K";"TEN"
"Blackmon, Justin";"WR";"JAC"
"Bolden, Brandon";"RB";"NWE"
"Boldin, Anquan";"WR";"BAL"
"Bolen, Brock";"RB";"JAC"
"Boller, Kyle";"QB";"SDG"
"Bomar, Rhett";"QB";"OAK"
"Boss, Kevin";"TE";"K.C"
"Bowe, Dwayne";"WR";"K.C"
"Bradley, Rodney";"WR";"BAL"
"Brady, Tom";"QB";"NWE"
"Branch, Deion";"WR";"NWE"
"Brantley, John";"QB";"BAL"
"Brazill, LaVon";"WR";"IND"
"Breaston, Steve";"WR";"K.C"
"Brinkley, Curtis";"RB";"SDG"
"Britt, Kenny";"WR";"TEN"
"Brock, Kevin";"TE";"BUF"
"Brock, Logan";"TE";"HOU"
"Brooks, Jourdan";"RB";"CIN"
"Brown, Aaron";"RB";"CIN"
"Brown, Antonio";"WR";"PIT"
"Brown, Donald";"RB";"IND"
"Brown, Jarrett";"QB";"IND"
"Brown, Josh";"K";"NYJ"
"Brown, Les";"TE";"MIA"
"Brown, Mike";"WR";"JAC"
"Brown, Mike";"WR";"JAC"
"Brown, Ronnie";"RB";"SDG"
"Brown, Vincent";"WR";"SDG"
"Brown, Zach";"RB";"BUF"
"Bullock, Randy";"K";"HOU"
"Bush, Reggie";"RB";"MIA"
"Butler, Carson";"TE";"NWE"
"Caldwell, Andre";"WR";"DEN"
"Cameron, Jordan";"TE";"CLE"
"Carmona, Eddy";"K";"OAK"
"Carpenter, Dan";"K";"MIA"
"Carrier, Derek";"WR";"OAK"
"Carswell, Brandon";"WR";"OAK"
"Carter, Delone";"RB";"IND"
"Casey, James";"TE";"HOU"
"Cassel, Matt";"QB";"K.C"
"Caussin, Mike";"TE";"BUF"
"Chandler, Scott";"TE";"BUF"
"Charles, Jamaal";"RB";"K.C"
"Charles, Orson";"TE";"CIN"
"Choice, Tashard";"RB";"BUF"
"Clay, Charles";"RB";"MIA"
"Clay, John";"RB";"PIT"
"Clemons, Toney";"WR";"PIT"
"Cloherty, Colin";"TE";"JAC"
"Clowney, David";"WR";"BUF"
"Cochart, Colin";"TE";"CIN"
"Collie, Austin";"WR";"IND"
"Conner, John";"RB";"NYJ"
"Cook, Jared";"TE";"TEN"
"Cooper, Josh";"WR";"CLE"
"Copper, Terrance";"WR";"K.C"
"Corp, Aaron";"QB";"BUF"
"Cosby, Quan";"WR";"IND"
