"Player";"Position";"Team"
"Adam, Luke";"C";"BUF"
"Almond, Cody";"C";"MIN"
"Andersson, Joakim";"C";"DET"
"Anisimov, Artem";"C";"NYR"
"Antropov, Nik";"C";"WPG"
"Arnott, Jason";"C";"STL"
"Aucoin, Keith";"C";"WAS"
"Avery, Sean";"C";"NYR"
"Backes, David";"C";"STL"
"Backlund, Mikael";"C";"CGY"
"Backstrom, Nicklas";"C";"WAS"
"Bailey, Josh";"C";"NYI"
"Bass, Cody";"C";"CBS"
"Beagle, Jay";"C";"WAS"
"Belanger, Eric";"C";"EDM"
"Bergeron, Patrice";"C";"BOS"
"Berglund, Patrik";"C";"STL"
"Bolland, Dave";"C";"CHI"
"Bonino, Nick";"C";"ANA"
"Bouma, Lance";"C";"CGY"
"Boyce, Darryl";"C";"TOR"
"Boychuk, Zach";"C";"CAR"
"Boyle, Brian";"C";"NYR"
"Bozak, Tyler";"C";"TOR"
"Brassard, Derick";"C";"CBS"
"Brent, Tim";"C";"CAR"
"Briere, Danny";"C";"PHI"
"Brodziak, Kyle";"C";"MIN"
"Brophey, Evan";"C";"COL"
"Brule, Gilbert";"C";"PHO"
"Burmistrov, Alex";"C";"WPG"
"Byron, Paul";"C";"CGY"
"Campbell, Gregory";"C";"BOS"
"Carter, Jeff";"C";"CBS"
"Carter, Ryan";"C";"NJD"
"Chipchura, Kyle";"C";"PHO"
"Christensen, Erik";"C";"NYR"
"Cogliano, Andrew";"C";"ANA"
"Colborne, Joe";"C";"TOR"
"Colliton, Jeremy";"C";"NYI"
"Connolly, Tim";"C";"TOR"
"Cormier, Patrice";"C";"WPG"
"Couture, Logan";"C";"SJS"
"Couturier, Sean";"C";"PHI"
"Cullen, Mark";"C";"FLA"
"Cullen, Matt";"C";"MIN"
"Da Costa, Stephane";"C";"OTT"
"Dalpe, Zac";"C";"CAR"
"Datsyuk, Pavel";"C";"DET"
"Desharnais, David";"C";"MTL"
"Desjardins, Andrew";"C";"SJS"
"Deveaux, Andre";"C";"NYR"
"Dowell, Jake";"C";"DAL"
"Duchene, Matt";"C";"COL"
"Eakin, Cody";"C";"WAS"
"Ebbett, Andrew";"C";"VAN"
"Elias, Patrik";"C";"NJD"
"Eller, Lars";"C";"MTL"
"Emmerton, Cory";"C";"DET"
"Engqvist, Andreas";"C";"MTL"
"Ferriero, Benn";"C";"SJS"
"Fiddler, Vernon";"C";"DAL"
"Filppula, Valtteri";"C";"DET"
"Fisher, Mike";"C";"NSH"
"Fraser, Colin";"C";"LAK"
"Gagner, Sam";"C";"EDM"
"Gagnon, Aaron";"C";"WPG"
"Gaustad, Paul";"C";"BUF"
"Getzlaf, Ryan";"C";"ANA"
"Giroux, Claude";"C";"PHI"
"Goc, Marcel";"C";"FLA"
"Gomez, Scott";"C";"MTL"
"Gordon, Boyd";"C";"PHO"
"Grabovski, Mikhail";"C";"TOR"
"Grachev, Evgeny";"C";"STL"
"Haley, Micheal";"C";"NYI"
"Halpern, Jeff";"C";"WAS"
"Hamill, Zach";"C";"BOS"
"Handzus, Michal";"C";"SJS"
"Hanzal, Martin";"C";"PHO"
"Hartikainen, Teemu";"C";"EDM"
"Hecht, Jochen";"C";"BUF"
"Helm, Darren";"C";"DET"
"Henrique, Adam";"C";"NJD"
"Hodgson, Cody";"C";"VAN"
"Hoffman, Mike";"C";"OTT"
"Holland, Peter";"C";"ANA"
"Holmstrom, Ben";"C";"PHI"
"Horcoff, Shawn";"C";"EDM"
"Jaffray, Jason";"C";"WPG"
"Jeffrey, Dustin";"C";"PIT"
"Johansen, Ryan";"C";"CBS"
"Johansson, Marcus";"C";"WAS"
"Jokinen, Olli";"C";"CGY"
"Jones, Blair";"C";"CGY"
"Josefson, Jacob";"C";"NJD"
"Kearns, Bracken";"C";"FLA"
"Kelly, Chris";"C";"BOS"
"Kennedy, Tyler";"C";"PIT"
"Kesler, Ryan";"C";"VAN"
"Koivu, Mikko";"C";"MIN"
"Koivu, Saku";"C";"ANA"
"Kolarik, Chad";"C";"NYR"
"Konopka, Zenon";"C";"OTT"
"Kopecky, Tomas";"C";"FLA"
"Kopitar, Anze";"C";"LAK"
"Krejci, David";"C";"BOS"
"Kruger, Marcus";"C";"CHI"
"Kytnar, Milan";"C";"EDM"
"Laich, Brooks";"C";"WAS"
"Lander, Anton";"C";"EDM"
"Langkow, Daymond";"C";"PHO"
"Lapierre, Maxim";"C";"VAN"
"Leblanc, Louis";"C";"MTL"
"Lecavalier, Vincent";"C";"TAM"
"Legwand, David";"C";"NSH"
"Leino, Ville";"C";"BUF"
"Letestu, Mark";"C";"CBS"
"Lewis, Trevor";"C";"LAK"
"Little, Bryan";"C";"WPG"
"Loktionov, Andrei";"C";"LAK"
"Lombardi, Matthew";"C";"TOR"
"MacKenzie, Derek";"C";"CBS"
"Macenauer, Maxime";"C";"ANA"
"Madden, John";"C";"FLA"
"Malhotra, Manny";"C";"VAN"
"Malkin, Evgeni";"C";"PIT"
"Malone, Brad";"C";"COL"
"Matthias, Shawn";"C";"FLA"
"Maxwell, Ben";"C";"WPG"
"McClement, Jay";"C";"COL"
"McDonald, Andy";"C";"STL"
"McIntyre, David";"C";"MIN"
"McMillan, Brandon";"C";"ANA"
"Miele, Andy";"C";"PHO"
"Mills, Brad";"C";"NJD"
"Mitchell, John";"C";"NYR"
"Moore, Dominic";"C";"TAM"
"Morrison, Brendan";"C";"CGY"
"Murray, Andrew";"C";"SJS"
"Nash, Riley";"C";"CAR"
"Nemisz, Greg";"C";"CGY"
"Newbury, Kris";"C";"NYR"
"Nichol, Scott";"C";"STL"
"Nielsen, Frans";"C";"NYI"
"Nokelainen, Petteri";"C";"MTL"
"Nugent-Hopkins, Ryan";"C";"EDM"
"Nyquist, Gustav";"C";"DET"
"O'Marra, Ryan";"C";"EDM"
"O'Reilly, Cal";"C";"PHO"
"O'Reilly, Ryan";"C";"COL"
"O'Sullivan, Patrick";"C";"PHO"
"Olver, Mark";"C";"COL"
"Oshie, T.J.";"C";"STL"
"Ott, Steve";"C";"DAL"
"Pahlsson, Samuel";"C";"CBS"
"Paradis, Philippe";"C";"CHI"
"Pavelski, Joe";"C";"SJS"
"Pelley, Rod";"C";"ANA"
"Perreault, Mathieu";"C";"WAS"
"Peters, Warren";"C";"MIN"
"Petersen, Toby";"C";"DAL"
"Petrell, Lennart";"C";"EDM"
"Pirri, Brandon";"C";"CHI"
"Plekanec, Tomas";"C";"MTL"
"Pouliot, Marc-Antoine";"C";"PHO"
"Rau, Chad";"C";"MIN"
"Reasoner, Marty";"C";"NYI"
"Regin, Peter";"C";"OTT"
"Ribeiro, Mike";"C";"DAL"
"Richards, Brad";"C";"NYR"
"Richards, Mike";"C";"LAK"
"Richardson, Brad";"C";"LAK"
"Rinaldo, Zac";"C";"PHI"
"Roy, Derek";"C";"BUF"
"Russell, Ryan";"C";"CBS"
"Ruutu, Tuomo";"C";"CAR"
"Santorelli, Mike";"C";"FLA"
"Savard, Marc";"C";"BOS"
"Schenn, Brayden";"C";"PHI"
"Schneider, Stefan";"C";"VAN"
"Sedin, Henrik";"C";"VAN"
"Seguin, Tyler";"C";"BOS"
"Sestito, Tim";"C";"NJD"
"Shannon, Ryan";"C";"TAM"
"Sharp, Patrick";"C";"CHI"
"Shaw, Andrew";"C";"CHI"
"Slater, Jim";"C";"WPG"
"Smith, Craig";"C";"NSH"
"Smithson, Jerred";"C";"NSH"
"Sobotka, Vladimir";"C";"STL"
"Spaling, Nick";"C";"NSH"
"Spezza, Jason";"C";"OTT"
"Staal, Eric";"C";"CAR"
"Staal, Jordan";"C";"PIT"
"Stajan, Matt";"C";"CGY"
"Stamkos, Steven";"C";"TAM"
"Stastny, Paul";"C";"COL"
"Steckel, David";"C";"TOR"
"Stepan, Derek";"C";"NYR"
"Stoll, Jarret";"C";"LAK"
"Stuart, Colin";"C";"BUF"
"Sutter, Brandon";"C";"CAR"
"Sutter, Brett";"C";"CAR"
"Szczechura, Paul";"C";"BUF"
"Taffe, Jeff";"C";"MIN"
"Talbot, Maxime";"C";"PHI"
"Tatar, Tomas";"C";"DET"
"Tavares, John";"C";"NYI"
"Thompson, Nate";"C";"TAM"
"Thornton, Joe";"C";"SJS"
"Toews, Jonathan";"C";"CHI"
"Turris, Kyle";"C";"OTT"
"Tyrell, Dana";"C";"TAM"
"Vermette, Antoine";"C";"CBS"
"Vincour, Tomas";"C";"DAL"
"Vitale, Joe";"C";"PIT"
"Wandell, Tom";"C";"DAL"
"Weiss, Stephen";"C";"FLA"
"Wellman, Casey";"C";"MIN"
"Wellwood, Kyle";"C";"WPG"
"White, Ryan";"C";"MTL"
"Wilson, Kyle";"C";"NSH"
"Winchester, Jesse";"C";"OTT"
"Zajac, Travis";"C";"NJD"
"Zalewski, Steven";"C";"NJD"
"Zetterberg, Henrik";"C";"DET"
"Abdelkader, Justin";"LW";"DET"
"Angelidis, Mike";"LW";"TAM"
"Beleskey, Matt";"LW";"ANA"
"Bell, Mark";"LW";"ANA"
"Benn, Jamie";"LW";"DAL"
"Bergenheim, Sean";"LW";"FLA"
"Bickell, Bryan";"LW";"CHI"
"Bishop, Hunter";"LW";"MTL"
"Bissonnette, Paul";"LW";"PHO"
"Blake, Jason";"LW";"ANA"
"Booth, David";"LW";"VAN"
"Bouchard, Pierre-Marc";"LW";"MIN"
"Boulton, Eric";"LW";"NJD"
"Bourque, Gabriel";"LW";"NSH"
"Bourque, Rene";"LW";"MTL"
"Bowman, Drayson";"LW";"CAR"
"Brouwer, Troy";"LW";"WAS"
"Brown, Mike";"LW";"TOR"
"Brunette, Andrew";"LW";"CHI"
"Brunnstrom, Fabian";"LW";"DET"
"Byers, Dane";"LW";"CBS"
"Calvert, Matt";"LW";"CBS"
"Cammalleri, Mike";"LW";"CGY"
"Carcillo, Daniel";"LW";"CHI"
"Chimera, Jason";"LW";"WAS"
"Clifford, Kyle";"LW";"LAK"
"Clowe, Ryane";"LW";"SJS"
"Cooke, Matt";"LW";"PIT"
"Darche, Mathieu";"LW";"MTL"
"Daugavins, Kaspars";"LW";"OTT"
"Dubinsky, Brandon";"LW";"NYR"
"Eager, Ben";"LW";"EDM"
"Ellis, Matt";"LW";"BUF"
"Ennis, Tyler";"LW";"BUF"
"Eriksson, Loui";"LW";"DAL"
"Fedotenko, Ruslan";"LW";"NYR"
"Fleischmann, Tomas";"LW";"FLA"
"Foligno, Marcus";"LW";"BUF"
"Foligno, Nick";"LW";"OTT"
"Fraser, Matt";"LW";"DAL"
"Frattin, Matt";"LW";"TOR"
"Gagne, Simon";"LW";"LAK"
"Galiardi, T.J.";"LW";"COL"
"Geoffrion, Blake";"LW";"NSH"
"Gerbe, Nathan";"LW";"BUF"
"Gillies, Colton";"LW";"CBS"
"Gillies, Trevor";"LW";"NYI"
"Giroux, Alexandre";"LW";"CBS"
"Glass, Tanner";"LW";"WPG"
"Glencross, Curtis";"LW";"CGY"
"Green, Josh";"LW";"EDM"
"Greening, Colin";"LW";"OTT"
"Greentree, Kyle";"LW";"WAS"
"Hagelin, Carl";"LW";"NYR"
"Hagman, Niklas";"LW";"ANA"
"Hall, Taylor";"LW";"EDM"
"Hartnell, Scott";"LW";"PHI"
"Hendricks, Matt";"LW";"WAS"
"Higgins, Christopher";"LW";"VAN"
"Holmstrom, Tomas";"LW";"DET"
"Horak, Roman";"LW";"CGY"
"Hordichuk, Darcy";"LW";"EDM"
"Hudler, Jiri";"LW";"DET"
"Huselius, Kristian";"LW";"CBS"
"Ivanans, Raitis";"LW";"CGY"
"Jacques, Jean-Francois";"LW";"ANA"
"Jokinen, Jussi";"LW";"CAR"
"Kadri, Nazem";"LW";"TOR"
"Kane, Evander";"LW";"WPG"
"Kassian, Matt";"LW";"MIN"
"Kennedy, Tim";"LW";"FLA"
"Klingberg, Carl";"LW";"WPG"
"Korpikoski, Lauri";"LW";"PHO"
"Kostitsyn, Sergei";"LW";"NSH"
"Kovalchuk, Ilya";"LW";"NJD"
"Kunitz, Chris";"LW";"PIT"
"Labrie, Pierre-Cedric";"LW";"TAM"
"Ladd, Andrew";"LW";"WPG"
"Landeskog, Gabriel";"LW";"COL"
"Latendresse, Guillaume";"LW";"MIN"
"Lucic, Milan";"LW";"BOS"
"Lupul, Joffrey";"LW";"TOR"
"MacArthur, Clarke";"LW";"TOR"
"MacIntyre, Steve";"LW";"PIT"
"MacLean, Brett";"LW";"PHO"
"Malone, Ryan";"LW";"TAM"
"Marchand, Brad";"LW";"BOS"
"Marleau, Patrick";"LW";"SJS"
"Maroon, Patrick";"LW";"ANA"
"Martin, Matt";"LW";"NYI"
"Mayorov, Maksim";"LW";"CBS"
"McArdle, Kenndal";"LW";"WPG"
"McCarthy, John";"LW";"SJS"
"McCormick, Cody";"LW";"BUF"
"McGinn, Jamie";"LW";"SJS"
"McLaren, Frazer";"LW";"SJS"
"McLeod, Cody";"LW";"COL"
"Michalek, Milan";"LW";"OTT"
"Miller, Drew";"LW";"DET"
"Mitchell, Torrey";"LW";"SJS"
"Moen, Travis";"LW";"MTL"
"Moreau, Ethan";"LW";"LAK"
"Morin, Jeremy";"LW";"CHI"
"Morrow, Brenden";"LW";"DAL"
"Moulson, Matt";"LW";"NYI"
"Mursak, Jan";"LW";"DET"
"Neal, James";"LW";"PIT"
"Nystrom, Eric";"LW";"DAL"
"Olesz, Rostislav";"LW";"CHI"
"Omark, Linus";"LW";"EDM"
"Ovechkin, Alex";"LW";"WAS"
"Paajarvi, Magnus";"LW";"EDM"
"Pacioretty, Max";"LW";"MTL"
"Paille, Daniel";"LW";"BOS"
"Pandolfo, Jay";"LW";"NYI"
"Parise, Zach";"LW";"NJD"
"Penner, Dustin";"LW";"LAK"
"Perron, David";"LW";"STL"
