"Player";"Position";"Team"
"Abrines, Alex";"SG";"OKC"
"Acy, Quincy";"SF";"TOR"
"Adams, Steven";"C";"OKC"
"Adrien, Jeff";"SF";"CHA"
"Afflalo, Arron";"SG";"ORL"
"Aldridge, LaMarcus";"PF";"POR"
"Allen, Lavoy";"C";"PHI"
"Allen, Ray";"SG";"MIA"
"Allen, Tony";"SG";"MEM"
"Aminu, Al-Farouq";"SF";"NOR"
"Andersen, Chris";"PF";"MIA"
"Anderson, James";"SG";"PHI"
"Anderson, Ryan";"PF";"NOR"
"Antetokounmpo, Giannis";"SG";"MIL"
"Anthony, Carmelo";"SF";"NYK"
"Anthony, Joel";"C";"MIA"
"Antic', Pero";"PF";"ATL"
"Ariza, Trevor";"SG";"WAS"
"Arthur, Darrell";"PF";"DEN"
"Asik, Omer";"C";"HOU"
"Augustin, D.J.";"PG";"TOR"
"Barac, Stanko";"C";"IND"
"Barea, J.J.";"PG";"MIN"
"Bargnani, Andrea";"C";"NYK"
"Barnes, Harrison";"SF";"GSW"
"Barnes, Matt";"SF";"LAC"
"Barton, Will";"SG";"POR"
"Bass, Brandon";"PF";"BOS"
"Battier, Shane";"SF";"MIA"
"Batum, Nicolas";"SF";"POR"
"Bayless, Jerryd";"PG";"MEM"
"Baynes, Aron";"PF";"SAS"
"Bazemore, Kent";"SG";"GSW"
"Beal, Bradley";"SG";"WAS"
"Beasley, Michael";"PF";"PHO"
"Belinelli, Marco";"SG";"SAS"
"Bennett, Anthony";"PF";"CLE"
"Beverley, Patrick";"PG";"HOU"
"Biedrins, Andris";"C";"UTH"
"Billups, Chauncey";"PG";"DET"
"Biyombo, Bismack";"PF";"CHA"
"Bjelica, Nemanja";"PF";"MIN"
"Blake, Steve";"PG";"LAL"
"Blatche, Andray";"C";"BKN"
"Bledsoe, Eric";"PG";"PHO"
"Bogans, Keith";"SG";"BOS"
"Bogut, Andrew";"C";"GSW"
"Bonner, Matt";"PF";"SAS"
"Booker, Trevor";"PF";"WAS"
"Boozer, Carlos";"PF";"CHI"
"Bosh, Chris";"PF";"MIA"
"Bradley, Avery";"PG";"BOS"
"Brand, Elton";"PF";"ATL"
"Brewer, Corey";"SF";"MIN"
"Brooks, Aaron";"PG";"HOU"
"Brooks, MarShon";"SG";"BOS"
"Brown, Kwame";"C";"PHI"
"Brown, Lorenzo";"PG";"MIN"
"Brown, Shannon";"PG";"PHO"
"Bryant, Kobe";"SG";"LAL"
"Budinger, Chase";"SF";"MIN"
"Bullock, Reggie";"SG";"LAC"
"Burke, Trey";"PG";"UTH"
"Burks, Alec";"PG";"UTH"
"Butler, Caron";"SF";"PHO"
"Butler, Jimmy";"SF";"CHI"
"Buycks, Dwight";"PG";"TOR"
"Bynum, Andrew";"C";"CLE"
"Bynum, Will";"PG";"DET"
"Calathes, Nick";"PG";"DAL"
"Calderon, Jose";"PG";"DAL"
"Caldwell-Pope, Kentavious";"SG";"DET"
"Canaan, Isaiah";"PG";"HOU"
"Carter, Vince";"SG";"DAL"
"Carter-Williams, Michael";"PG";"PHI"
"Casspi, Omri";"SF";"HOU"
"Chalmers, Mario";"PG";"MIA"
"Chandler, Tyson";"C";"NYK"
"Chandler, Wilson";"SF";"DEN"
"Clark, Earl";"SF";"CLE"
"Claver, Victor";"SF";"POR"
"Cole, Norris";"PG";"MIA"
"Collins, Dwayne";"PF";"PHO"
"Collison, Darren";"PG";"LAC"
"Collison, Nick";"PF";"OKC"
"Conley, Mike";"PG";"MEM"
"Copeland, Chris";"SF";"IND"
"Cousins, DeMarcus";"C";"SAC"
"Covington, Robert";"SF";"HOU"
"Crabbe, Allen";"SG";"POR"
"Crawford, Jamal";"SG";"LAC"
"Crawford, Jordan";"SG";"BOS"
"Crowder, Jae";"SF";"DAL"
"Cunningham, Dante";"SF";"MIN"
"Cunningham, Jared";"SG";"ATL"
"Curry, Stephen";"PG";"GSW"
"Dalembert, Samuel";"C";"DAL"
"Datome, Luigi";"SF";"DET"
"Davis, Anthony";"PF";"NOR"
"Davis, Ed";"PF";"MEM"
"Davis, Glen";"PF";"ORL"
"De Colo, Nando";"PG";"SAS"
"DeRozan, DeMar";"SG";"TOR"
"Delfino, Carlos";"SG";"MIL"
"Deng, Luol";"SF";"CHI"
"Diaw, Boris";"PF";"SAS"
"Dieng, Gorgui";"C";"MIN"
"Douglas, Toney";"PG";"GSW"
"Dragic, Goran";"PG";"PHO"
"Drummond, Andre";"C";"DET"
"Dubljevic, Bojan";"PF";"MIN"
"Dudley, Jared";"SF";"LAC"
"Duncan, Tim";"PF";"SAS"
"Dunleavy, Mike";"SF";"CHI"
"Durant, Kevin";"SF";"OKC"
"Eliyahu, Lior";"PF";"HOU"
"Ellington, Wayne";"SG";"DAL"
"Ellis, Monta";"PG";"DAL"
"Elonu, Chinemelu";"C";"LAL"
"Ennis, James";"SF";"MIA"
"Evans, Jeremy";"SF";"UTH"
"Evans, Reggie";"PF";"BKN"
"Evans, Tyreke";"PG";"NOR"
"Ezeli, Festus";"C";"GSW"
"Faried, Kenneth";"SF";"DEN"
"Farmar, Jordan";"PG";"LAL"
"Faverani, Vitor";"C";"BOS"
"Favors, Derrick";"PF";"UTH"
"Felix, Carrick";"SG";"CLE"
"Felton, Raymond";"PG";"NYK"
"Fields, Landry";"SF";"TOR"
"Fisher, Derek";"PG";"OKC"
"Fournier, Evan";"SG";"DEN"
"Foye, Randy";"PG";"DEN"
"Franklin, Jamaal";"SG";"MEM"
"Fredette, Jimmer";"PG";"SAC"
"Freeland, Joel";"PF";"POR"
"Frye, Channing";"C";"PHO"
"Gallinari, Danilo";"SF";"DEN"
"Garnett, Kevin";"PF";"BKN"
"Gasol, Marc";"C";"MEM"
"Gasol, Pau";"PF";"LAL"
"Gay, Rudy";"SF";"TOR"
"Gee, Alonzo";"SF";"CLE"
"Gelabale, Mickael";"SF";"MIN"
"George, Paul";"SF";"IND"
"Gibson, Taj";"PF";"CHI"
"Ginobili, Manu";"SG";"SAS"
"Gladyr, Sergiy";"SG";"ATL"
"Gobert, Rudy";"C";"UTH"
"Goodwin, Archie";"SG";"PHO"
"Gordon, Ben";"SG";"CHA"
"Gordon, Eric";"SG";"NOR"
"Gortat, Marcin";"PF";"PHO"
"Granger, Danny";"SF";"IND"
"Green, Danny";"SF";"SAS"
"Green, Draymond";"SF";"GSW"
"Green, Erick";"PG";"DEN"
"Green, Gerald";"SG";"PHO"
"Green, Jeff";"PF";"BOS"
"Green, Willie";"SG";"LAC"
"Greene, Donte";"SF";"MEM"
"Griffin, Adrian";"SG";"MIL"
"Griffin, Blake";"PF";"LAC"
"Halperin, Yotam";"SG";"OKC"
"Hamilton, Jordan";"SF";"DEN"
"Hansbrough, Tyler";"PF";"TOR"
"Hardaway, Tim Jr.";"SG";"NYK"
"Harden, James";"SG";"HOU"
"Harkless, Maurice";"SF";"ORL"
"Harrington, Al";"PF";"ORL"
"Harris, Terrel";"SG";"POR"
"Harris, Tobias";"SF";"ORL"
"Haslem, Udonis";"PF";"MIA"
"Hawes, Spencer";"C";"PHI"
"Hayes, Chuck";"PF";"SAC"
"Hayward, Gordon";"SG";"UTH"
"Haywood, Brendan";"C";"CHA"
"Henson, John";"PF";"MIL"
"Hibbert, Roy";"C";"IND"
"Hickson, JJ";"PF";"DEN"
"Hill, George";"PG";"IND"
"Hill, Jordan";"PF";"LAL"
"Hill, Solomon";"SF";"IND"
"Hinrich, Kirk";"PG";"CHI"
"Holiday, Jrue";"PG";"NOR"
"Holiday, Justin";"SG";"PHI"
"Hollins, Ryan";"C";"LAC"
"Horford, Al";"C";"ATL"
"Howard, Dwight";"C";"HOU"
"Humphries, Kris";"PF";"BOS"
"Ibaka, Serge";"PF";"OKC"
"Iguodala, Andre";"SG";"GSW"
"Ilyasova, Ersan";"SF";"MIL"
"Irving, Kyrie";"PG";"CLE"
"Iverson, Colton";"C";"BOS"
"Jack, Jarrett";"PG";"CLE"
"Jackson, Pierre";"PG";"NOR"
"Jackson, Reggie";"PG";"OKC"
"James, Bernard";"C";"DAL"
"James, LeBron";"SF";"MIA"
"Jean-Charles, Livio";"SF";"SAS"
"Jefferson, Al";"C";"CHA"
"Jefferson, Richard";"SF";"UTH"
"Jenkins, John";"SG";"ATL"
"Jerebko, Jonas";"SF";"DET"
"Jerrett, Grant";"PF";"OKC"
"Johnson, Amir";"SF";"TOR"
"Johnson, Chris";"PF";"MIN"
"Johnson, Joe";"SG";"BKN"
"Johnson, Orlando";"SG";"IND"
"Johnson, Wesley";"SG";"LAL"
"Jones, James";"SF";"MIA"
"Jones, Perry";"SF";"OKC"
"Jones, Terrence";"PF";"HOU"
"Jordan, DeAndre";"C";"LAC"
"Joseph, Cory";"PG";"SAS"
"Kaman, Chris";"C";"LAL"
"Kanter, Enes";"C";"UTH"
"Karasev, Sergey";"SG";"CLE"
"Kazemi, Arsalan";"SF";"PHI"
"Kelly, Ryan";"SF";"LAL"
"Kennedy, D.J.";"SG";"CLE"
"Kidd-Gilchrist, Michael";"SF";"CHA"
"Kirilenko, Andrei";"SF";"BKN"
