"Player";"Position";"Team"
"Acy, Quincy";"SF";"SAC"
"Adams, Jordan";"SG";"MEM"
"Adams, Steven";"C";"OKC"
"Afflalo, Arron";"SG";"NYK"
"Agravanis, Dimitrios";"PF";"ATL"
"Ajinca, Alexis";"C";"NOR"
"Aldemir, Furkan";"PF";"PHI"
"Aldrich, Cole";"C";"LAC"
"Aldridge, LaMarcus";"PF";"SAS"
"Alexander, Cliff";"PF";"POR"
"Allen, Lavoy";"PF";"IND"
"Allen, Tony";"SG";"MEM"
"Aminu, Al-Farouq";"SF";"POR"
"Amundson, Lou";"PF";"NYK"
"Andersen, Chris";"PF";"MIA"
"Anderson, Alan";"SG";"WAS"
"Anderson, James";"SG";"SAC"
"Anderson, Justin";"SG";"DAL"
"Anderson, Kyle";"SF";"SAS"
"Anderson, Ryan";"PF";"NOR"
"Antetokounmpo, Giannis";"SF";"MIL"
"Antetokounmpo, Thanasis";"SF";"NYK"
"Anthony, Carmelo";"SF";"NYK"
"Anthony, Joel";"C";"DET"
"Ariza, Trevor";"SG";"HOU"
"Arthur, Darrell";"PF";"DEN"
"Ashley, Brandon";"PF";"DAL"
"Asik, Omer";"C";"NOR"
"Augustin, D.J.";"PG";"OKC"
"Babb, Chris";"SG";"GSW"
"Babbitt, Luke";"SF";"NOR"
"Bairstow, Cameron";"PF";"CHI"
"Barac, Stanko";"C";"IND"
"Barbosa, Leandro";"SG";"GSW"
"Barea, J.J.";"PG";"DAL"
"Bargnani, Andrea";"C";"BKN"
"Barnes, Harrison";"SF";"GSW"
"Barnes, Matt";"SF";"MEM"
"Barton, Will";"SG";"DEN"
"Bass, Brandon";"PF";"LAL"
"Batum, Nicolas";"SF";"CHA"
"Bayless, Jerryd";"PG";"MIL"
"Baynes, Aron";"PF";"DET"
"Bazemore, Kent";"SG";"ATL"
"Beal, Bradley";"SG";"WAS"
"Belinelli, Marco";"SG";"SAC"
"Bennett, Anthony";"PF";"MIN"
"Benson, Keith";"PF";"MIA"
"Beverley, Patrick";"PG";"HOU"
"Biyombo, Bismack";"PF";"TOR"
"Bjelica, Nemanja";"PF";"MIN"
"Black, Tarik";"C";"LAL"
"Blair, DeJuan";"PF";"WAS"
"Blake, Steve";"PG";"DET"
"Bledsoe, Eric";"PG";"PHO"
"Boatright, Ryan";"PG";"BKN"
"Bogdanovic, Bojan";"SG";"BKN"
"Bogut, Andrew";"C";"GSW"
"Bonner, Matt";"PF";"SAS"
"Booker, Devin";"SG";"PHO"
"Booker, Trevor";"PF";"UTH"
"Bosh, Chris";"PF";"MIA"
"Bradley, Avery";"PG";"BOS"
"Brewer, Corey";"SF";"HOU"
"Brooks, Aaron";"PG";"CHI"
"Brown, Anthony";"SF";"LAL"
"Brown, Jabari";"SG";"LAL"
"Brown, Lorenzo";"PG";"MIN"
"Brown, Markel";"SG";"BKN"
"Bryant, Kobe";"SG";"LAL"
"Budinger, Chase";"SF";"IND"
"Bullock, Reggie";"SF";"DET"
"Burke, Trey";"PG";"UTH"
"Burks, Alec";"PG";"UTH"
"Butler, Caron";"SF";"SAC"
"Butler, Jimmy";"SG";"CHI"
"Caboclo, Bruno";"SF";"TOR"
"Calderon, Jose";"PG";"NYK"
"Caldwell-Pope, Kentavious";"SG";"DET"
"Canaan, Isaiah";"PG";"PHI"
"Carroll, DeMarre";"SF";"TOR"
"Carter, Vince";"SG";"MEM"
"Carter-Williams, Michael";"PG";"MIL"
"Casspi, Omri";"SF";"SAC"
"Cauley-Stein, Willie";"C";"SAC"
"Chalmers, Mario";"PG";"MIA"
"Chandler, Tyson";"C";"PHO"
"Chandler, Wilson";"SF";"DEN"
"Christmas, Rakeem";"PF";"IND"
"Clarkson, Jordan";"PG";"LAL"
"Collins, Dwayne";"PF";"PHO"
"Collison, Darren";"PG";"SAC"
"Collison, Nick";"PF";"OKC"
"Conley, Mike";"PG";"MEM"
"Connaughton, Pat";"SG";"POR"
"Cooley, Jack";"SF";"UTH"
"Copeland, Chris";"SF";"MIL"
"Cotton, Bryce";"PG";"UTH"
"Cousins, DeMarcus";"C";"SAC"
"Covington, Robert";"SF";"PHI"
"Crabbe, Allen";"SF";"POR"
"Crawford, Jamal";"SG";"LAC"
"Crowder, Jae";"SF";"BOS"
"Cunningham, Dante";"SF";"NOR"
"Curry, Seth";"SG";"SAC"
"Curry, Stephen";"PG";"GSW"
"Dalembert, Samuel";"C";"DAL"
"Daniels, Troy";"SG";"CHA"
"Davis, Anthony";"PF";"NOR"
"Davis, Ed";"PF";"POR"
"Dawson, Branden";"SF";"LAC"
"DeRozan, DeMar";"SG";"TOR"
"Dedmon, DeWayne";"C";"ORL"
"Dekker, Sam";"SF";"HOU"
"Dellavedova, Matthew";"SG";"CLE"
"Deng, Luol";"SF";"MIA"
"Diaw, Boris";"PF";"SAS"
"Dieng, Gorgui";"C";"MIN"
"Diez, Daniel";"SG";"POR"
"Dinwiddie, Spencer";"PG";"DET"
"Douglas, Toney";"PG";"IND"
"Dragic, Goran";"PG";"MIA"
"Drummond, Andre";"C";"DET"
"Dudley, Jared";"SF";"WAS"
"Dukan, Duje";"PF";"SAC"
"Duncan, Tim";"PF";"SAS"
"Dunleavy, Mike";"SF";"CHI"
"Durant, Kevin";"SF";"OKC"
"Early, Cleanthony";"SF";"NYK"
"Ejim, Melvin";"SF";"ORL"
"Eliyahu, Lior";"SF";"HOU"
"Ellington, Wayne";"SG";"BKN"
"Ellis, Monta";"PG";"IND"
"Elonu, Chinemelu";"C";"LAL"
"Embiid, Joel";"C";"PHI"
"Ennis, James";"SF";"MIA"
"Ennis, Tyler";"PG";"MIL"
"Eriksson, Marcus";"SG";"ATL"
"Evans, Jeremy";"SF";"DAL"
"Evans, Tyreke";"PG";"NOR"
"Exum, Dante";"SG";"UTH"
"Ezeli, Festus";"C";"GSW"
"Famous, Jarrid";"PF";"DAL"
"Faried, Kenneth";"PF";"DEN"
"Favors, Derrick";"PF";"UTH"
"Felicio, Cristiano";"PF";"CHI"
"Felton, Raymond";"PG";"DAL"
"Fournier, Evan";"SG";"ORL"
"Foye, Randy";"PG";"DEN"
"Franklin, Jamaal";"SG";"DEN"
"Frazier, Michael";"SG";"LAL"
"Frazier, Tim";"PG";"POR"
"Fredette, Jimmer";"PG";"SAS"
"Frye, Channing";"C";"ORL"
"Gallinari, Danilo";"SF";"DEN"
"Galloway, Langston";"PG";"NYK"
"Garnett, Kevin";"PF";"MIN"
"Gasol, Marc";"C";"MEM"
"Gasol, Pau";"PF";"CHI"
"Gay, Rudy";"SF";"SAC"
"Gee, Alonzo";"SF";"NOR"
"Gentile, Alessandro";"SG";"MIN"
"George, Paul";"SF";"IND"
"Gibson, Taj";"PF";"CHI"
"Ginobili, Manu";"SG";"SAS"
"Gladyr, Sergiy";"SG";"ATL"
"Gobert, Rudy";"C";"UTH"
"Gooden, Drew";"PF";"WAS"
"Goodwin, Archie";"SG";"PHO"
"Gordon, Aaron";"PF";"ORL"
"Gordon, Eric";"SG";"NOR"
"Gortat, Marcin";"PF";"WAS"
"Graham, Treveon";"SG";"UTH"
"Granger, Danny";"SF";"DET"
"Grant, Jerami";"SF";"PHI"
"Grant, Jerian";"PG";"NYK"
"Green, Danny";"SF";"SAS"
"Green, Draymond";"SF";"GSW"
"Green, Erick";"PG";"DEN"
"Green, Gerald";"SG";"MIA"
"Green, JaMychal";"PF";"MEM"
"Green, Jeff";"PF";"MEM"
"Griffin, Adrian";"SG";"MIL"
"Griffin, Blake";"PF";"LAC"
"Gudaitis, Arturas";"C";"SAC"
"Gutierrez, Jorge";"PG";"MIL"
"Hairston, P.J.";"SG";"CHA"
"Halperin, Yotam";"SG";"OKC"
"Hamilton, Jordan";"SG";"LAC"
"Hanlan, Olivier";"PG";"UTH"
"Hansbrough, Tyler";"PF";"CHA"
"Hardaway Jr., Tim";"SG";"ATL"
"Harden, James";"SG";"HOU"
"Harkless, Maurice";"SF";"POR"
"Harrell, Montrezl";"PF";"HOU"
"Harris, Devin";"PG";"DAL"
"Harris, Gary";"SG";"DEN"
"Harris, Joe";"SG";"CLE"
"Harris, Tobias";"SF";"ORL"
"Harrison, Aaron";"SG";"CHA"
"Harrison, Andrew";"PG";"MEM"
"Harvey, Tyler";"SG";"ORL"
"Haslem, Udonis";"PF";"MIA"
