"Player";"DL";"Team"
"Aaitui, Isaako";"DL";"MIA"
"Abdulai, Ibraham";"DL";"NYJ"
"Acho, Emmanuel";"LB";"CLE"
"Adams, Kendrick";"DL";"JAC"
"Adams, Kris";"WR";"IND"
"Adams, Mike";"DB";"DEN"
"Adams, Mike";"OL";"PIT"
"Adams, Royce";"WR";"NYJ"
"Addison, Mario";"LB";"IND"
"Afalava, Al";"DB";"TEN"
"Aguilar, Devin";"WR";"TEN"
"Aiken, Kamar";"WR";"BUF"
"Aiono, James";"DL";"IND"
"Albert, Branden";"OL";"K.C"
"Alecxih, Chas";"DL";"MIA"
"Alexander, Mister";"LB";"HOU"
"Alford, Dominic";"OL";"CLE"
"Allen, Anthony";"RB";"BAL"
"Allen, Antonio";"DB";"NYJ"
"Allen, Cortez";"DB";"PIT"
"Allen, Dwayne";"TE";"IND"
"Allen, Jason";"DB";"CIN"
"Allen, Jeff";"OL";"K.C"
"Allen, Mike";"DB";"CLE"
"Allen, Russell";"LB";"JAC"
"Allen, Sean";"OL";"BUF"
"Allen, Will";"DB";"NWE"
"Allen, Will";"DB";"PIT"
"Alualu, Tyson";"DL";"JAC"
"Amano, Eugene";"OL";"TEN"
"Ambrose, Damario";"DL";"NYJ"
"Anderson, Jake";"OL";"CLE"
"Anderson, Jamaal";"DL";"CIN"
"Anderson, Justin";"OL";"IND"
"Anderson, Mark";"DL";"BUF"
"Angerer, Pat";"LB";"IND"
"Anunoby, Chigbo";"DL";"IND"
"Arenas, Javier";"DB";"K.C"
"Arrington, Kyle";"DB";"NWE"
"Asamoah, Jon";"OL";"K.C"
"Asper, Mark";"OL";"BUF"
"Atkins, Geno";"DL";"CIN"
"Ausberry, David";"TE";"OAK"
"Austin, Thomas";"OL";"HOU"
"Avery, Donnie";"WR";"IND"
"Ayanbadejo, Brendon";"LB";"BAL"
"Ayers, Akeem";"LB";"TEN"
"Ayers, Robert";"LB";"DEN"
"Babineaux, Jordan";"DB";"TEN"
"Bademosi, Johnson";"DB";"CLE"
"Bailey, Allen";"DL";"K.C"
"Bailey, Champ";"DB";"DEN"
"Bailey, Patrick";"LB";"TEN"
"Bair, Brandon";"DL";"K.C"
"Bajema, Billy";"TE";"BAL"
"Baker, Edwin";"RB";"SDG"
"Baker, Josh";"TE";"NYJ"
"Baker, Mikail";"DB";"K.C"
"Baker, Ryan";"DL";"MIA"
"Baker, Ryan";"LB";"PIT"
"Baker, Steven";"OL";"IND"
"Balasavage, Matt";"TE";"BAL"
"Baldridge, Daniel";"OL";"JAC"
"Baldwin, Jon";"WR";"K.C"
"Ball, Alan";"DB";"HOU"
"Ball, Dave";"DL";"TEN"
"Ball, Lance";"RB";"DEN"
"Ballard, Jake";"TE";"NWE"
"Ballard, Vick";"RB";"IND"
"Banks, Gary";"WR";"SDG"
"Bannan, Justin";"DL";"DEN"
"Bannon, Shane";"RB";"K.C"
"Barbiasz, Lee";"OL";"JAC"
"Barbieri, Howard";"OL";"BAL"
"Barden, Brandon";"TE";"TEN"
"Barker, Will";"OL";"MIA"
"Barksdale, Joe";"OL";"OAK"
"Barnes, Antwan";"LB";"SDG"
"Barnes, Jason";"WR";"SDG"
"Barnes, Khalif";"OL";"OAK"
"Barnett, Nick";"LB";"BUF"
"Barrett, Josh";"DB";"NWE"
"Bartell, Ron";"DB";"OAK"
"Barwin, Connor";"LB";"HOU"
"Batch, Baron";"RB";"PIT"
"Batch, Charlie";"QB";"PIT"
"Batten, Danny";"LB";"BUF"
"Battle, Jackie";"RB";"SDG"
"Baxter, Colin";"OL";"SDG"
"Bazuin, Dan";"DL";"HOU"
"Beachum, Kelvin";"OL";"PIT"
"Beadles, Zane";"OL";"DEN"
"Beal, Jeremy";"DL";"DEN"
"Beck, John";"QB";"HOU"
"Beiler, Tyler";"WR";"PIT"
"Belcher, Jovan";"LB";"K.C"
"Bell, Cordell";"OL";"SDG"
"Bell, Yeremiah";"DB";"NYJ"
"Bellamy, Josh";"WR";"K.C"
"Bellore, Nick";"LB";"NYJ"
"Benard, Marcus";"LB";"CLE"
"Benjamin, Travis";"WR";"CLE"
"Bequette, Jake";"DL";"NWE"
"Bergstrom, Tony";"OL";"OAK"
"Berning, Matt";"LB";"NYJ"
"Berry, Damien";"RB";"BAL"
"Berry, Eric";"DB";"K.C"
"Berryhill, Jamison";"RB";"BAL"
"Bess, Davone";"WR";"MIA"
"Bethea, Antoine";"DB";"IND"
"Bias, George";"OL";"TEN"
"Biere, Tim";"TE";"K.C"
"Bigby, Atari";"DB";"SDG"
"Bilukidi, Christo";"DL";"OAK"
"Binns, Armon";"WR";"CIN"
"Bird, Bront";"LB";"SDG"
"Birk, Matt";"OL";"BAL"
"Bironas, Rob";"K";"TEN"
"Black, Conroy";"DB";"OAK"
"Blackmon, Justin";"WR";"JAC"
"Blackstock, Darryl";"LB";"BAL"
"Blake, Philip";"OL";"DEN"
"Blanc, Mike";"DL";"PIT"
"Blatnick, Jamie";"DL";"DEN"
"Boggs, Taylor";"OL";"NYJ"
"Bojicic, Ben";"OL";"CIN"
"Bolden, Brandon";"RB";"NWE"
"Boldin, Anquan";"WR";"BAL"
"Bolen, Brock";"RB";"JAC"
"Boling, Clint";"OL";"CIN"
"Boller, Kyle";"QB";"SDG"
"Bomar, Rhett";"QB";"OAK"
"Boren, Justin";"OL";"BAL"
"Boss, Kevin";"TE";"K.C"
"Bosworth, Kyle";"LB";"JAC"
"Bowe, Dwayne";"WR";"K.C"
"Brace, Ron";"DL";"NWE"
"Bradfield, Cameron";"OL";"JAC"
"Bradham, Nigel";"LB";"BUF"
"Bradley, Rodney";"WR";"BAL"
"Brady, Tom";"QB";"NWE"
"Braman, Bryan";"LB";"HOU"
"Branch, Andre";"DL";"JAC"
"Branch, Deion";"WR";"NWE"
"Branch, Tyvon";"DB";"OAK"
"Brantley, John";"QB";"BAL"
"Brazill, LaVon";"WR";"IND"
"Breaston, Steve";"WR";"K.C"
"Brewster, Michael";"OL";"JAC"
"Brinkley, Curtis";"RB";"SDG"
"Brisiel, Mike";"OL";"OAK"
"Britt, Kenny";"WR";"TEN"
"Britton, Eben";"OL";"JAC"
"Brock, Kevin";"TE";"BUF"
"Brock, Logan";"TE";"HOU"
"Brodine, Mason";"DL";"OAK"
"Brooks, Brandon";"OL";"HOU"
"Brooks, Derrius";"DB";"CIN"
"Brooks, Jourdan";"RB";"CIN"
"Brown, Aaron";"RB";"CIN"
"Brown, Antonio";"WR";"PIT"
"Brown, Charles";"DB";"BAL"
"Brown, Chykie";"DB";"BAL"
"Brown, Colin";"OL";"BUF"
"Brown, Curtis";"DB";"PIT"
"Brown, Donald";"RB";"IND"
"Brown, Duane";"OL";"HOU"
"Brown, Eddie";"DL";"SDG"
"Brown, Garrett";"DL";"SDG"
"Brown, Jalil";"DB";"K.C"
"Brown, Jarrett";"QB";"IND"
"Brown, Jeremiah";"DB";"JAC"
"Brown, Jerry";"LB";"IND"
"Brown, Josh";"K";"NYJ"
"Brown, Les";"TE";"MIA"
"Brown, Marcus";"DB";"MIA"
"Brown, Mike";"WR";"JAC"
"Brown, Mike";"WR";"JAC"
"Brown, Omar";"DB";"BAL"
"Brown, Ricky";"LB";"BAL"
"Brown, Ronnie";"RB";"SDG"
"Brown, Sergio";"DB";"NWE"
"Brown, Sheldon";"DB";"CLE"
"Brown, Terence";"OL";"MIA"
"Brown, Vincent";"WR";"SDG"
"Brown, Zach";"RB";"BUF"
"Brown, Zach";"LB";"TEN"
"Browner, Keith";"DL";"HOU"
"Bruggeman, Rob";"OL";"K.C"
"Bruton, David";"DB";"DEN"
"Bryant, Charlie";"OL";"SDG"
"Bryant, Corbin";"DL";"PIT"
"Bryant, D.J.";"LB";"HOU"
"Bryant, Desmond";"DL";"OAK"
"Buche, Bridger";"OL";"PIT"
"Bullock, Randy";"K";"HOU"
"Bulman, Tim";"DL";"NWE"
"Burden, Chandler";"OL";"MIA"
"Burfict, Vontaze";"LB";"CIN"
"Burnett, Kaelin";"LB";"OAK"
"Burnett, Kevin";"LB";"MIA"
"Burris, Miles";"LB";"OAK"
"Burton, Charles";"OL";"SDG"
"Bush, Josh";"DB";"NYJ"
"Bush, Rafael";"DB";"DEN"
"Bush, Reggie";"RB";"MIA"
"Butler, Carson";"TE";"NWE"
