"Player";"Position";"Team"
"Aaitui, Isaako";"DL";"MIA"
"Abbrederis, Jared";"WR";"GNB"
"Abdul-Quddus, Isa";"DB";"DET"
"Abdullah, Husain";"DB";"K.C"
"Aboushi, Oday";"OL";"NYJ"
"Abraham, John";"DB";"ARI"
"Abram, Chad";"RB";"DET"
"Acho, Emmanuel";"DB";"PHI"
"Acho, Sam";"DB";"ARI"
"Acker, Kenneth";"DB";"SFO"
"Adams, Aaron";"OL";"GNB"
"Adams, Davante";"WR";"GNB"
"Adams, Jeff";"OL";"TEN"
"Adams, Johnny";"DB";"IND"
"Adams, Kendrick";"DL";"NYG"
"Adams, Kris";"WR";"NYG"
"Adams, Mike";"DB";"IND"
"Adams, Mike";"OL";"PIT"
"Adams, Phillip";"DB";"SEA"
"Adams, Royce";"DB";"CLE"
"Addae, Jahleel";"DB";"SDG"
"Addison, Mario";"DL";"CAR"
"Adkins, Spencer";"DB";"NYG"
"Adongo, Daniel";"DB";"IND"
"Agnew, Ray";"RB";"CLE"
"Aiken, Kamar";"WR";"BAL"
"Aikens, Walt";"DB";"MIA"
"Ajirotutu, Seyi";"WR";"SDG"
"Aladenoye, Josh";"OL";"DAL"
"Albert, Branden";"OL";"MIA"
"Alecxih, Chas";"DL";"SDG"
"Alexander, Alvester";"RB";"PIT"
"Alexander, Frank";"DL";"CAR"
"Alexander, Lorenzo";"DB";"ARI"
"Alexander, Maurice";"DB";"STL"
"Alford, Robert";"DB";"ATL"
"Allen, Antonio";"DB";"NYJ"
"Allen, Beau";"DL";"PHI"
"Allen, Cortez";"DB";"PIT"
"Allen, Denicos";"DB";"CAR"
"Allen, Dwayne";"TE";"IND"
"Allen, Jared";"DL";"CHI"
"Allen, Jeff";"OL";"K.C"
"Allen, Josh";"OL";"TAM"
"Allen, Keenan";"WR";"SDG"
"Allen, Nate";"DB";"PHI"
"Allen, Rashaun";"TE";"SEA"
"Allen, Ricardo";"DB";"ATL"
"Allen, Torrence";"WR";"SDG"
"Allen, Will";"DB";"PIT"
"Alonso, Kiko";"DB";"BUF"
"Alualu, Tyson";"DL";"JAC"
"Amaro, Jace";"TE";"NYJ"
"Amendola, Danny";"WR";"NWE"
"Amerson, David";"DB";"WAS"
"Amukamara, Prince";"DB";"NYG"
"Anderson, C.J.";"RB";"DEN"
"Anderson, Colin";"TE";"NYJ"
"Anderson, Colt";"DB";"IND"
"Anderson, Derek";"QB";"CAR"
"Anderson, James";"DB";"NWE"
"Anderson, Justin";"DB";"NYG"
"Anderson, Ri'Shard";"DB";"TEN"
"Andrews, Antonio";"RB";"TEN"
"Andrews, Josh";"OL";"PHI"
"Ankrah, Jason";"DB";"HOU"
"Annen, Blake";"TE";"PHI"
"Ansah, Ezekiel";"DL";"DET"
"Anthony, Deon";"WR";"K.C"
"Anthony, Marc";"DB";"TEN"
"Anunike, Kenny";"DL";"DEN"
"Anunoby, Chigbo";"DL";"TEN"
"Archer, Dri";"RB";"PIT"
"Arenas, Javier";"DB";"ATL"
"Arkin, David";"OL";"MIA"
"Armstead, Armond";"DL";"NWE"
"Armstead, Terron";"OL";"NOR"
"Armstrong, Anthony";"WR";"CLE"
"Armstrong, Matt";"OL";"NOR"
"Armstrong, Ray-Ray";"DB";"STL"
"Arnfelt, Brian";"DL";"PIT"
"Arrington, Kyle";"DB";"NWE"
"Asamoah, Jon";"OL";"ATL"
"Asiata, Matt";"RB";"MIN"
"Askew, Nate";"DB";"TAM"
"Asper, Mark";"OL";"BUF"
"Atkins, Geno";"DL";"CIN"
"Atkinson, George";"RB";"OAK"
"Attaochu, Jeremiah";"DB";"SDG"
"Aubrey, Josh";"DB";"CLE"
"Auguste, Akeem";"DB";"SEA"
"Ausberry, David";"TE";"OAK"
"Austin, Marvin";"DL";"DEN"
"Austin, Miles";"WR";"CLE"
"Austin, Rodney";"OL";"DET"
"Austin, Tavon";"WR";"STL"
"Autry, Denico";"DL";"OAK"
"Avant, Jason";"WR";"CAR"
"Avery, Donnie";"WR";"K.C"
"Avril, Cliff";"DL";"SEA"
"Ayers, Akeem";"DB";"TEN"
"Ayers, Robert";"DL";"NYG"
"Babineaux, Jonathan";"DL";"ATL"
"Baca, Jeff";"OL";"MIN"
"Bademosi, Johnson";"DB";"CLE"
"Bailey, Allen";"DL";"K.C"
"Bailey, Alvin";"OL";"SEA"
"Bailey, Champ";"DB";"NOR"
"Bailey, Dan";"K";"DAL"
"Bailey, Dion";"DB";"SEA"
"Bailey, Patrick";"DB";"TEN"
"Bailey, Stedman";"WR";"STL"
"Bair, Brandon";"DL";"PHI"
"Baker, Chase";"DL";"MIN"
"Baker, Chris";"DL";"WAS"
"Baker, Edwin";"RB";"CLE"
"Baker, James";"RB";"K.C"
"Baker, Sam";"OL";"ATL"
"Baker, Sean";"DB";"ATL"
"Bakhtiari, David";"OL";"GNB"
"Baldwin, Doug";"WR";"SEA"
"Baldwin, Jon";"WR";"SFO"
"Ball, Alan";"DB";"JAC"
"Ball, Marcus";"DB";"NOR"
"Ball, Montee";"RB";"DEN"
"Ballard, Jake";"TE";"ARI"
"Ballard, Vick";"RB";"IND"
"Ballentine, Lonnie";"DB";"HOU"
"Bamiro, Michael";"OL";"PHI"
"Banjo, Chris";"DB";"GNB"
"Banks, Johnthan";"DB";"TAM"
"Banyard, Joe";"RB";"MIN"
"Barbre, Allen";"OL";"PHI"
"Barclay, Don";"OL";"GNB"
"Barden, Brandon";"TE";"JAC"
"Barden, Ramses";"WR";"BUF"
"Barker, Chris";"OL";"NWE"
"Barkley, Matt";"QB";"PHI"
"Barksdale, Joe";"OL";"STL"
"Barner, Kenjon";"RB";"CAR"
"Barnes, Antwan";"DB";"NYJ"
"Barnes, Khalif";"OL";"OAK"
"Barnes, T.J.";"DL";"NYJ"
"Barnes, Tim";"OL";"STL"
"Barnett, C.J.";"DB";"NYG"
"Barnett, Calvin";"DL";"CLE"
"Barnidge, Gary";"TE";"CLE"
"Barr, Anthony";"DB";"MIN"
"Barrett, Shaquil";"DB";"DEN"
"Barrington, Sam";"DB";"GNB"
"Barron, Mark";"DB";"TAM"
"Barrow, Lamin";"DB";"DEN"
"Barth, Connor";"K";"TAM"
"Barton, Karim";"OL";"PHI"
"Bartu, Joplo";"DB";"ATL"
"Barwin, Connor";"DB";"PHI"
"Bass, Ben";"DL";"DAL"
"Bass, David";"DL";"CHI"
"Bates, Daren";"DB";"STL"
"Bates, Phil";"WR";"SEA"
"Battle, Jackie";"RB";"TEN"
"Bauman, Zach";"RB";"ARI"
"Bayer, Alex";"TE";"STL"
"Beachum, Kelvin";"OL";"PIT"
"Beadles, Zane";"OL";"JAC"
"Beasley, Cole";"WR";"DAL"
"Beason, Jon";"DB";"NYG"
"Beatty, Will";"OL";"NYG"
"Beauharnais, Steve";"DB";"NWE"
"Beckham, Odell";"WR";"NYG"
"Becton, Nick";"OL";"SDG"
"Bell, Byron";"OL";"CAR"
"Bell, Joique";"RB";"DET"
"Bell, Le'Veon";"RB";"PIT"
"Bellamy, Josh";"WR";"CHI"
"Bellore, Nick";"DB";"NYJ"
"Benard, Marcus";"DB";"ARI"
"Benford, Tim";"WR";"DAL"
"Benjamin, Kelvin";"WR";"CAR"
"Benjamin, Travis";"WR";"CLE"
"Benn, Arrelious";"WR";"PHI"
"Bennett, Martellus";"TE";"CHI"
"Bennett, Michael";"DL";"SEA"
"Bentley, Bill";"DB";"DET"
"Benwikere, Bene";"DB";"CAR"
"Bequette, Jake";"DL";"NWE"
"Berger, Joe";"OL";"MIN"
"Bergstrom, Tony";"OL";"OAK"
"Berhe, Nat";"DB";"NYG"
"Bernadeau, Mackenzy";"OL";"DAL"
"Bernard, Giovani";"RB";"CIN"
"Berry, Aaron";"DB";"CLE"
"Berry, Eric";"DB";"K.C"
"Bersin, Brenton";"WR";"CAR"
"Bester, Lacoltan";"WR";"HOU"
"Bethea, Antoine";"DB";"SFO"
"Bethel-Thompson, McLeod";"QB";"SFO"
"Bethel, Justin";"DB";"ARI"
"Bibbs, Kapri";"RB";"DEN"
"Biermann, Kroy";"DL";"ATL"
"Bigelow, Brendan";"RB";"TAM"
"Biggers, E.J.";"DB";"WAS"
"Bilukidi, Christo";"DL";"CIN"
"Binns, Armon";"WR";"MIA"
"Bishop, Brandan";"DB";"MIN"
"Bishop, Ken";"DL";"DAL"
"Bitonio, Joel";"OL";"CLE"
"Black, Larry";"DL";"CIN"
"Blackburn, Chase";"DB";"CAR"
"Blackmon, Justin";"WR";"JAC"
"Blackmon, Will";"DB";"JAC"
"Blake, Antwon";"DB";"PIT"
"Blake, Emory";"WR";"STL"
"Blake, Philip";"OL";"ARI"
"Blalock, Justin";"OL";"ATL"
"Blanchard, Matt";"QB";"CAR"
"Blanchflower, Rob";"TE";"PIT"
"Blankenship, Beau";"RB";"JAC"
"Blanton, Robert";"DB";"MIN"
"Blount, LeGarrette";"RB";"PIT"
"Blue, Alfred";"RB";"HOU"
"Bodine, Russell";"OL";"CIN"
"Boffeli, Conor";"OL";"HOU"
"Boggs, Taylor";"OL";"CHI"
"Bohanon, Tommy";"RB";"NYJ"
"Bolden, Brandon";"RB";"NWE"
"Bolden, Omar";"DB";"DEN"
"Boldewijn, Geraldo";"WR";"ATL"
"Boldin, Anquan";"WR";"SFO"
"Boling, Clint";"OL";"CIN"
"Bolser, Ted";"TE";"WAS"
"Bonani, Maikon";"K";"TEN"
"Bond, Travis";"OL";"STL"
"Bonner, Alan";"WR";"HOU"
"Boone, Alex";"OL";"SFO"
"Boone, Kadron";"WR";"PHI"
"Booth, Cody";"OL";"CHI"
"Boothe, Kevin";"OL";"OAK"
"Boren, Zach";"RB";"SDG"
"Borland, Chris";"DB";"SFO"
"Bortles, Blake";"QB";"JAC"
