"Player";"Position";"Team"
"Abbrederis, Jared";"WR";"GNB"
"Abdullah, Ameer";"RB";"DET"
"Acosta, Corey";"K";"SFO"
"Adams, Davante";"WR";"GNB"
"Agholor, Nelson";"WR";"PHI"
"Agnew, Ray";"RB";"DAL"
"Aiken, Kamar";"WR";"BAL"
"Ajayi, Jay";"RB";"MIA"
"Ajirotutu, Seyi";"WR";"PHI"
"Alford, Mario";"WR";"CIN"
"Allen, Dwayne";"TE";"IND"
"Allen, Javorius";"RB";"BAL"
"Allen, Keenan";"WR";"SDG"
"Allen, RaShaun";"TE";"SEA"
"Allen, Torrence";"WR";"SDG"
"Amaro, Jace";"TE";"NYJ"
"Amendola, Danny";"WR";"NWE"
"Anderson, C.J.";"RB";"DEN"
"Anderson, Derek";"QB";"CAR"
"Anderson, Dres";"WR";"SFO"
"Anderson, Rory";"TE";"SFO"
"Andrews, Antonio";"RB";"TEN"
"Annen, Blake";"TE";"CHI"
"Archer, Dri";"RB";"PIT"
"Artis-Payne, Cameron";"RB";"CAR"
"Asiata, Matt";"RB";"MIN"
"Atkinson, George";"RB";"OAK"
"Aultman, Damarr";"WR";"MIA"
"Ausberry, David";"TE";"DET"
"Austin, Miles";"WR";"PHI"
"Austin, Tavon";"WR";"STL"
"Avant, Jason";"WR";"K.C"
"Backman, Kennard";"TE";"GNB"
"Bailey, Dan";"K";"DAL"
"Bailey, Rasheed";"WR";"PHI"
"Bailey, Stedman";"WR";"STL"
"Baker, Edwin";"RB";"NOR"
"Baldwin, Doug";"WR";"SEA"
"Ball, Montee";"RB";"DEN"
"Ballard, Vick";"RB";"IND"
"Banyard, Joe";"RB";"MIN"
"Barkley, Matt";"QB";"PHI"
"Barner, Kenjon";"RB";"PHI"
"Barnidge, Gary";"TE";"CLE"
"Barth, Connor";"K";"DEN"
"Bayer, Alex";"TE";"STL"
"Beasley, Cole";"WR";"DAL"
"Beckham, Odell";"WR";"NYG"
"Bell, Blake";"TE";"SFO"
"Bell, Joique";"RB";"DET"
"Bell, Kenny";"WR";"TAM"
"Bell, Le'Veon";"RB";"PIT"
"Bell, Reggie";"WR";"WAS"
"Bellamy, Josh";"WR";"CHI"
"Benjamin, Kelvin";"WR";"CAR"
"Benjamin, Travis";"WR";"CLE"
"Benn, Arrelious";"WR";"JAC"
"Bennett, Bryan";"QB";"IND"
"Bennett, Martellus";"TE";"CHI"
"Bernard, Giovani";"RB";"CIN"
"Bersin, Brenton";"WR";"CAR"
"Bethel-Thompson, McLeod";"QB";"MIA"
"Bibbs, E.J.";"TE";"CLE"
"Bibbs, Kapri";"RB";"DEN"
"Binns, Armon";"WR";"K.C"
"Blackmon, Justin";"WR";"JAC"
"Blake, Emory";"WR";"STL"
"Blakeney, Issac";"WR";"SFO"
"Blanchard, Matt";"QB";"GNB"
"Blanchflower, Rob";"TE";"PIT"
"Blount, LeGarrette";"RB";"NWE"
"Blue, Alfred";"RB";"HOU"
"Blue, Javess";"WR";"GNB"
"Bogotay, Brandon";"K";"TAM"
"Bohanon, Tommy";"RB";"NYJ"
"Bolden, Brandon";"RB";"NWE"
"Boldin, Anquan";"WR";"SFO"
"Bolser, Ted";"TE";"ARI"
"Bonner, Alan";"WR";"HOU"
"Bortles, Blake";"QB";"JAC"
"Bostick, Brandon";"TE";"MIN"
