"Player";"Position";"Team"
"Abdelkader, Justin";"LW";"DET"
"Adam, Luke";"C";"BUF"
"Adams, Craig";"RW";"PIT"
"Aittokallio, Sami";"G";"COL"
"Akeson, Jason";"C";"PHI"
"Alfredsson, Daniel";"RW";"DET"
"Allen, Bryan";"D";"ANA"
"Allen, Jake";"G";"STL"
"Alzner, Karl";"D";"WSH"
"Andersen, Frederik";"G";"ANA"
"Anderson, Craig";"G";"OTT"
"Anderson, Matt";"RW";"NJD"
"Andersson, Joakim";"C";"DET"
"Angelidis, Mike";"LW";"TAM"
"Anisimov, Artem";"C";"CBS"
"Arcobello, Mark";"LW";"EDM"
"Asham, Arron";"RW";"NYR"
"Atkinson, Cam";"RW";"CBS"
"Aucoin, Keith";"C";"STL"
"Audy-Marchessaul, Jonathan";"C";"CBS"
"Aulie, Keith";"D";"TAM"
"Backes, David";"C";"STL"
"Backlund, Mikael";"C";"CGY"
"Backstrom, Nicklas";"C";"WSH"
"Backstrom, Niklas";"G";"MIN"
"Baertschi, Sven";"LW";"CGY"
"Bagnall, Drew";"D";"BUF"
"Bailey, Josh";"C";"NYI"
"Ballard, Keith";"D";"MIN"
"Bancks, Carter";"LW";"CGY"
"Bang, Daniel";"LW";"NSH"
"Bang, Daniel";"RW";"NSH"
"Barberio, Mark";"D";"TAM"
"Barch, Krys";"RW";"NJD"
"Barrie, Tyson";"D";"COL"
"Bartkowski, Matt";"D";"BOS"
"Bartley, Victor";"D";"NSH"
"Bass, Cody";"C";"CBS"
"Beagle, Jay";"C";"WSH"
"Beauchemin, Francois";"D";"ANA"
"Beaulieu, Nathan";"D";"MTL"
"Beck, Taylor";"LW";"NSH"
"Belanger, Eric";"C";"EDM"
"Beleskey, Matt";"LW";"ANA"
"Bellemore, Brett";"D";"CAR"
"Benn, Jamie";"LW";"DAL"
"Benn, Jordie";"D";"DAL"
"Bennett, Beau";"RW";"PIT"
"Benoit, Andre";"LW";"COL"
"Bergenheim, Sean";"LW";"FLA"
"Bergeron, Patrice";"C";"BOS"
"Berglund, Patrik";"C";"STL"
"Bernier, Jonathan";"G";"TOR"
"Bernier, Steve";"RW";"NJD"
