Player;Position;Team
Aaltonen, Miro;C;TOR
Abdelkader, Justin;RW;DET
Aberg, Pontus;RW;TOR
Abols, Rodrigo;C;FLA
Abramov, Vitaly;RW;OTT
Acciari, Noel;RW;FLA
Adams-Moisan, Morgan;RW;MTL
Addison, Calen;D;PIT
Addison, Jeremiah;LW;MTL
Agostino, Kenny;LW;TOR
Agozzino, Andrew;LW;COL
Aho, Sebastian;C;CAR
Aho, Sebastian;D;NYI
Alain, Alexandre;C;MTL
Alexandrov, Nikita;C;STL
Alexeyev, Alexander;D;WAS
Allard, Frederic;D;NSH
Allen, Jake;G;STL
Almari, Niclas;D;PIT
Almeida, Justin;C;PIT
Alsing, Olle;D;OTT
Alt, Mark;D;COL
Alzner, Karl;D;MTL
Amadio, Michael;C;LAK
Amorosa, Terrance;D;ANA
Anas, Sam;C;MIN
Andersen, Frederik;G;TOR
Anderson, Craig;G;OTT
Anderson, Joey;RW;NJD
Anderson, Josh;RW;CBS
Anderson, Josh;D;COL
Anderson, Michael;D;LAK
Anderson-Dolan, Jaret;C;LAK
Andersson, Axel;D;BOS
Andersson, Lias;C;NYR
Andersson, Rasmus;D;CGY
Andreoff, Andy;LW;TAM
Andrighetto, Sven;RW;COL
Ang, Jonathan;C;FLA
Angello, Anthony;RW;PIT
Anisimov, Artem;C;OTT
Anselmini, Brandon;D;VAN
Appleby, Ken;G;WPG
Appleton, Mason;RW;WPG
Archambault, Olivier;LW;TAM
Archibald, Darren;RW;OTT
Archibald, Josh;RW;EDM
Armia, Joel;RW;MTL
Arseneau, Vincent;LW;VAN
Arvidsson, Viktor;RW;NSH
Asmundson, Keegan;G;VAN
Aspirot, Jonathan;D;OTT
Asplund, Rasmus;C;BUF
Asselin, Samuel;C;BOS
Aston-Reese, Zach;LW;PIT
Athanasiou, Andreas;C;DET
Atkinson, Cam;RW;CBS
Aube-Kubel, Nicolas;RW;PHI
Audette, Daniel;C;MTL
Auger, Justin;RW;CGY
Austin, Brady;D;CBS
Bachman, Richard;G;VAN
Backes, David;RW;BOS
Backlund, Mikael;C;CGY
Backstrom, Nicklas;C;WAS
Baddock, Brandon;LW;NJD
Baertschi, Sven;LW;VAN
Bahl, Kevin;D;ARI
Bailey, Josh;LW;NYI
Bailey, Justin;RW;VAN
Bajkov, Patrick;RW;FLA
Bakos, Martin;C;BOS
Balcers, Rudolfs;LW;OTT
Balisy, Chase;C;OTT
Balmas, Mitchell;C;PHI
Bancks, Carter;LW;VAN
Baptiste, Nicholas;RW;NSH
Barbashev, Ivan;LW;STL
Barber, Riley;RW;WAS
Barberio, Mark;D;COL
Bardreau, Cole;C;PHI
Baribeau, Dereck;G;MIN
Barkov, Aleksander;C;FLA
Barre-Boulet, Alex;C;TAM
Barrie, Tyson;D;TOR
Barron, Travis;LW;COL
Barteaux, Dawson;D;DAL
Bartkowski, Matt;D;MIN
