Player;Position;Team
"Barrett, Beauden";"FH";"HUR"
"Sanchez, Nicolas";"FH";"JAG"
"Pollard, Handre";"FH";"BUL"
"Lambie, Patrick";"FH";"SHA"
"Nadolo, Nemani";"OB";"CRU"
"Milner-Skudder, Nehe";"OB";"HUR"
"Naholo, Waisake";"OB";"HIG"
"Folau, Israel";"OB";"WAR"
"Cruden, Aaron";"FH";"CHI"
"Foley, Bernard";"FH";"WAR"
"Sopoaga, Lima";"FH";"HIG"
"Smith, Ben";"OB";"HIG"
"Savea, Julian";"OB";"HUR"
"Harris, Mike";"M";"REB"
"Cordero, Santiago";"OB";"JAG"
"Lealiifano, Christian";"FH";"BRU"
"Kriel, Jesse";"OB";"BUL"
"de Allende, Damian";"M";"STO"
"Moala, George";"M";"BLU"
"Kerevi, Samu";"M";"RED"
"Jantjies, Elton";"FH";"LIO"
"Fekitoa, Malakai";"M";"HIG"
"Osborne, Patrick";"OB";"HIG"
"Nanai-Williams, Tim";"OB";"CHI"
"Lowe, James";"OB";"CHI"
"Ranger, Rene";"M";"BLU"
"Naivalu, Sefenaia";"M";"REB"
"McKenzie, Marty";"FH";"CRU"
"Martin Hernandez, Juan";"M";"JAG"
"Goromaru, Ayumu";"OB";"RED"
"Coetzee, Andries";"OB";"LIO"
"Ngatai, Charlie";"M";"CHI"
"Tomane, Joseph";"OB";"BRU"
"Speight, Henry";"OB";"BRU"
"West, Ihaia";"FH";"BLU"
"Haylett-Petty, Dane";"OB";"FOR"
"Nanai, Melani";"OB";"BLU"
"Visinia, Lolagi";"OB";"BLU"
"Kolbe, Cheslin";"OB";"STO"
"Combrinck, Ruan";"OB";"LIO"
"Mapoe, Lionel";"OB";"LIO"
"Ioane, Akira";"LF";"BLU"
"McKenzie, Damian";"OB";"CHI"
"Mvovo, Lwazi";"OB";"SHA"
"Savea, Ardie";"LF";"HUR"
"Kriel, Jaco";"LF";"LIO"
"Vorster, Harold";"M";"LIO"
"Grant, Peter";"FH";"FOR"
"Beale, Kurtley";"M";"WAR"
"De Jongh, Juan";"M";"STO"
"Horne, Rob";"OB";"WAR"
"Morahan, Luke";"OB";"FOR"
"Serfontein, Jan";"M";"BUL"
"Kuridrani, Tevita";"M";"BRU"
"Williams, Sonny Bill";"M";"CHI"
"Shipperley, Dominic";"OB";"REB"
"Jane, Cory";"OB";"HUR"
"Fisiiahi, Glen";"OB";"CHI"
"McNicholl, Johnny";"OB";"CRU"
"Lam, Ben";"OB";"BLU"
"Feauai-Sautia, Chris";"OB";"RED"
"Placid, Jonah";"OB";"REB"
"Pocock, David";"LF";"BRU"
"Hooper, Michael";"LF";"WAR"
"Blommetjies, Clayton";"OB";"CHE"
"Todd, Matt";"LF";"CRU"
"Leyds, Dillyn";"OB";"STO"
"Taufua, Jordan";"LF";"CRU"
"Ebersohn, Sias";"FH";"CHE"
"Dagg, Israel";"OB";"CRU"
"Crotty, Ryan";"M";"CRU"
"Buckman, Richard";"M";"HIG"
"du Preez, Robert";"FH";"STO"
"Sithole, Sibusiso";"OB";"SHA"
"Ahki, Pita";"M";"HUR"
"Perenara, TJ";"HB";"HUR"
"Proctor, Matt";"M";"HUR"
"Carr, Nizaam";"LF";"STO"
"Marais, SP";"OB";"SHA"
"Cane, Sam";"LF";"CHI"
"Landajo, Martin";"HB";"JAG"
"Ulengo, Jamba";"OB";"BUL"
"Ismaiel, Travis";"OB";"BUL"
"Montero, Manuel";"OB";"JAG"
"Gelant, Warrick";"OB";"BUL"
"Vito, Victor";"LF";"HUR"
"Reinach, Jacobus";"HB";"SHA"
"Whiteley, Warren";"LF";"LIO"
"Manuel Leguizamon, Juan";"LF";"JAG"
"Stevenson, Shaun";"OB";"CHI"
"Duffie, Matt";"OB";"BLU"
"Van Wyk, Jacobus";"OB";"STO"
"Read, Kieran";"LF";"CRU"
"de Klerk, Francois";"HB";"LIO"
