"Player";"Position";"Team"
"McKenzie, Damian";"OB";"CHI"
"Folau, Israel";"OB";"WAR"
"Milner-Skudder, Nehe";"OB";"HUR"
"Mo'unga, Richie";"FH";"CRU"
"Barrett, Beauden";"FH";"HUR"
"Kerevi, Samu";"M";"RED"
"Dagg, Israel";"OB";"CRU"
"Combrinck, Ruan";"OB";"LIO"
"Sopoaga, Lima";"FH";"HIG"
"Foley, Bernard";"FH";"WAR"
"Pollard, Handre";"FH";"BUL"
"Jantjies, Elton";"FH";"LIO"
"Cooper, Quade";"FH";"RED"
"Savea, Ardie";"LF";"HUR"
"Kriel, Jaco";"LF";"LIO"
"Ngatai, Charlie";"M";"CHI"
"Nanai, Melani";"OB";"BLU"
"Lambie, Patrick";"FH";"SHA"
"Ioane, Rieko";"OB";"BLU"
"Tamanivalu, Seta";"M";"CRU"
"Janse van Rensburg, Rohan";"M";"LIO"
"Lienert-Brown, Anton";"M";"CHI"
"Isa, Facundo";"LF";"JAG"
"Hooper, Michael";"LF";"WAR"
"Smith, Ben";"OB";"HIG"
"Naholo, Waisake";"OB";"HIG"
"Mapoe, Lionel";"M";"LIO"
"Gelant, Warrick";"OB";"BUL"
"Crotty, Ryan";"M";"CRU"
"Faddes, Matt";"M";"HIG"
"Sanchez, Nicolas";"FH";"JAG"
"Lowe, James";"OB";"CHI"
"Macilai-Tori, Jone";"OB";"CRU"
"Fekitoa, Malakai";"M";"HIG"
"Esterhuizen, Andre";"M";"SHA"
"Naivalu, Sefenaia";"OB";"REB"
"Cruden, Aaron";"FH";"CHI"
"Savea, Julian";"OB";"HUR"
"Moala, George";"M";"BLU"
"Ioane, Digby";"OB";"CRU"
"Landajo, Martin";"HB";"JAG"
"Nanai-Williams, Tim";"OB";"CHI"
"Perenara, TJ";"HB";"HUR"
"Hodge, Reece";"M";"REB"
"Pulu, Augustine";"HB";"BLU"
"Francis, Piers";"FH";"BLU"
"Venter, Francois";"M";"CHE"
"de Allende, Damian";"M";"STO"
"West, Ihaia";"FH";"BLU"
"Haylett-Petty, Dane";"OB";"FOR"
"McMahon, Sean";"LF";"REB"
"Whiteley, Warren";"LF";"LIO"
"Todd, Matt";"LF";"CRU"
"Taufua, Jordan";"LF";"CRU"
"Ioane, Akira";"LF";"BLU"
"du Preez, Robert";"FH";"STO"
"English, Tom";"OB";"REB"
"Petersen, Sergeal";"OB";"CHE"
"Cordero, Santiago";"OB";"JAG"
"Carpenter, Derek";"M";"SUN"
"Kriel, Jesse";"M";"BUL"
"Speight, Henry";"OB";"BRU"
"Pulu, Toni";"OB";"CHI"
"Laumape, Ngani";"M";"HUR"
"Kuridrani, Tevita";"M";"BRU"
"Samu, Peter";"LF";"CRU"
"Osborne, Patrick";"OB";"HIG"
"Thompson, Rob";"M";"HIG"
"Lee, Nico";"M";"CHE"
"Read, Kieran";"LF";"CRU"
"Lance, Jonno";"FH";"FOR"
"Garden-Bachop, Jackson";"FH";"REB"
"Tamura, Yu";"FH";"SUN"
"Bill Williams, Sonny";"M";"BLU"
"Koroibete, Marika";"OB";"REB"
"Martin Hernandez, Juan";"M";"JAG"
"Ismaiel, Travis";"OB";"BUL"
"Ulengo, Jamba";"OB";"BUL"
"Mvovo, Lwazi";"OB";"SHA"
"Li, Tevita";"OB";"HIG"
"Marais, Niel";"FH";"CHE"
"du Toit, Pieter-Steph";"L";"STO"
"Hawera, Wharenui";"FH";"BRU"
"Jane, Cory";"OB";"HUR"
